hotel_id,hotel_name,area,master_google_rating,master_google_review_count,google_travel_review_n,google_travel_mean_rating,google_travel_low_share,google_travel_high_share,google_top_aspects,google_strength_signals,google_concern_signals,trip_review_n,trip_mean_rating_5,trip_low_share,trip_high_share,trip_top_traveler_type,trip_family_share,trip_couple_share,trip_country_coverage,policy_status,amenity_count,family_feature_count,wellness_feature_count,water_feature_count,has_policy_data,source_count,customer_voice_support,cross_platform_rating_gap,cross_platform_consistency,archetypes
BOD001,Aksoy Taş Ev,Akyarlar,4.7,135,28.0,5.0,0.0,1.0,BEACH_SEA;ROOM;FOOD;LOCATION;CLEANLINESS,BEACH_SEA;ROOM;FOOD,,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD002,Armonia Holiday Village & Spa,Akyarlar,4.2,3197,10.0,3.6,0.2,0.6,ROOM;FOOD;BAR_DRINKS;BED_COMFORT;STAFF,ROOM;FOOD;BAR_DRINKS,CLEANLINESS;NOISE;POOL,11.0,3.8181818181818175,0.273,0.727,UNKNOWN,36.4,18.2,1.0,PARTIAL,11.0,4.0,3.0,1.0,True,2,MEDIUM,-0.218,SUPPORTED_COMPARISON,family_oriented_profile;wellness_oriented_profile
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,4.3,246,30.0,4.433333333333334,0.133,0.833,BEACH_SEA;STAFF;ROOM;CLEANLINESS;LOCATION,BEACH_SEA;STAFF;ROOM,SERVICE;MANAGEMENT;REFUND_PAYMENT,28.0,3.678571428571429,0.214,0.679,UNKNOWN,7.1,0.0,0.0,PARTIAL,3.0,1.0,0.0,1.0,True,2,HIGH,0.755,SUPPORTED_COMPARISON,platform_consistent_strong_profile;source_divergent_profile
BOD004,Bendis Beach Hotel,Akyarlar,3.9,2469,10.0,2.0,0.7,0.3,ROOM;CLEANLINESS;FAMILY_KIDS;STAFF;PRICE_VALUE,ANIMATION_ENTERTAINMENT;REFUND_PAYMENT,ROOM;CLEANLINESS;FAMILY_KIDS,11.0,3.954545454545455,0.182,0.636,FAMILY,36.4,18.2,2.0,PARTIAL,12.0,3.0,3.0,2.0,True,2,MEDIUM,-1.955,SUPPORTED_COMPARISON,platform_consistent_concern_profile;family_oriented_profile;beach_oriented_profile;wellness_oriented_profile;source_divergent_profile
BOD005,ByAkkan,Akyarlar,4.4,203,10.0,4.6,0.1,0.9,STAFF;FOOD;CLEANLINESS;ROOM;SERVICE,FOOD;STAFF;ROOM,HYGIENE;MANAGEMENT;PRICE_VALUE,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD006,Club Marma Hotel,Akyarlar,4.3,1373,10.0,4.3,0.1,0.8,BEACH_SEA;FOOD;STAFF;ROOM;CLEANLINESS,BEACH_SEA;FOOD;STAFF,MANAGEMENT;BAR_DRINKS;WIFI,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD007,Kefaluka Resort,Akyarlar,4.4,4293,60.0,4.066666666666666,0.183,0.733,STAFF;FOOD;ANIMATION_ENTERTAINMENT;ROOM;BEACH_SEA,STAFF;FOOD;ANIMATION_ENTERTAINMENT,SERVICE;RESERVATION;REFUND_PAYMENT,11.0,4.259090909090909,0.091,0.818,FAMILY,63.6,27.3,4.0,PARTIAL,15.0,4.0,3.0,3.0,True,2,HIGH,-0.192,SUPPORTED_COMPARISON,platform_consistent_strong_profile;family_oriented_profile;beach_oriented_profile;wellness_oriented_profile
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,4.5,424,20.0,5.0,0.0,1.0,ROOM;STAFF;FOOD;CLEANLINESS;BEACH_SEA,ROOM;STAFF;FOOD,,11.0,4.009090909090909,0.182,0.727,UNKNOWN,0.0,9.1,0.0,PARTIAL,7.0,2.0,0.0,0.0,True,2,HIGH,0.991,SUPPORTED_COMPARISON,platform_consistent_strong_profile;family_oriented_profile;source_divergent_profile
BOD009,LİV OTEL,Akyarlar,4.4,546,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD010,Mare Garden Hotel,Akyarlar,4.2,288,10.0,3.2,0.3,0.5,BEACH_SEA;STAFF;CLEANLINESS;ROOM;FOOD,COMMUNICATION,LOCATION;HYGIENE;BAR_DRINKS,2.0,4.0,0.0,1.0,UNKNOWN,0.0,0.0,0.0,PARTIAL,8.0,1.0,0.0,3.0,True,2,MEDIUM,-0.8,LOW_SUPPORT,platform_consistent_concern_profile;beach_oriented_profile
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,4.9,3237,10.0,4.8,0.0,0.9,STAFF;FOOD;BEACH_SEA;CLEANLINESS;SERVICE,STAFF;BEACH_SEA;FOOD,,11.0,4.75,0.0,0.818,COUPLE,27.3,54.5,6.0,PARTIAL,11.0,1.0,3.0,1.0,True,2,MEDIUM,0.05,SUPPORTED_COMPARISON,platform_consistent_strong_profile;wellness_oriented_profile
