hotel_id,hotel_name,area,platform,candidate_rank,candidate_url,candidate_detected_name,candidate_location,name_similarity,area_match,address_match,brand_collision_flag,candidate_score,validation_status,validation_note,discovered_at
BOD001,Aksoy Taş Ev,Akyarlar,google_travel,1,https://www.google.com/travel/hotels/entity/ChkIxM3gn6-Mx41DGg0vZy8xMXJuYl92MnZnEAE?q=Aksoy%20Ta%C5%9F%20Ev%20Akyarlar%20Bodrum&ved=2ahUKEwitl7jilb6WAxVUBgYAHS1tBGUQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggAKgIKAA,Aksoy Taş Ev,Aksoy Taş Ev otelini yeni sekmede aç,1.0,,,False,95,FOUND_EXACT,"detected='Aksoy Taş Ev' vs expected='Aksoy Taş Ev' (card near-text was 'Aksoy Taş Ev otelini yeni sekmede aç', 37 candidates on page) -> score=95",2026-08-26T11:17:10Z
BOD002,Armonia Holiday Village & Spa,Akyarlar,google_travel,1,https://www.google.com/travel/hotels/entity/ChcIib6os8m5kedkGgsvZy8xdGdkd24xZBAB?q=Armonia%20Holiday%20Village%20%26%20Spa%20Akyarlar%20Bodrum&ved=2ahUKEwjt_JDplb6WAxV9QEECHTAXHqwQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,Armonia Holiday Village & Spa,Armonia Holiday Village & Spa otelini yeni sekmede aç,1.0,,,False,95,FOUND_EXACT,"detected='Armonia Holiday Village & Spa' vs expected='Armonia Holiday Village & Spa' (card near-text was 'Armonia Holiday Village & Spa otelini yeni sekmede aç', 29 candidates on page) -> score=95",2026-08-26T11:17:24Z
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,google_travel,1,https://www.google.com/travel/hotels/entity/ChkI_fH789a1ipI4Gg0vZy8xMXR4bDRma2tiEAE?q=ASPAT%20HOTEL%20BODRUM%20Beach%20Restaurant%20Akyarlar%20Bodrum&ved=2ahUKEwiuiazwlb6WAxXsakECHVPSOXkQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,ASPAT HOTEL BODRUM Beach Restaurant,ASPAT HOTEL BODRUM Beach Restaurant otelini yeni sekmede aç,1.0,,,False,95,FOUND_EXACT,"detected='ASPAT HOTEL BODRUM Beach Restaurant' vs expected='ASPAT HOTEL BODRUM Beach Restaurant' (card near-text was 'ASPAT HOTEL BODRUM Beach Restaurant otelini yeni sekmede aç', 37 candidates on page) -> score=95",2026-08-26T11:17:39Z
BOD004,Bendis Beach Hotel,Akyarlar,google_travel,1,https://www.google.com/travel/hotels/entity/ChcI-p_dtL_R4bl3GgsvZy8xdGZyN2htMhAB?q=Bendis%20Beach%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwjT-_z2lb6WAxXtZkECHZ0_DHgQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,Bendis Beach Hotel,Bendis Beach Hotel otelini yeni sekmede aç,1.0,,,False,95,FOUND_EXACT,"detected='Bendis Beach Hotel' vs expected='Bendis Beach Hotel' (card near-text was 'Bendis Beach Hotel otelini yeni sekmede aç', 17 candidates on page) -> score=95",2026-08-26T11:17:53Z
BOD005,ByAkkan,Akyarlar,google_travel,1,https://www.google.com/travel/hotels/entity/ChoI1N7IttjHkMeqARoNL2cvMTF0MzM5a3h4aBAB?q=ByAkkan%20Akyarlar%20Bodrum&ved=2ahUKEwjIr8_9lb6WAxVyIwYAHWzxDSAQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,ByAkkan,ByAkkan otelini yeni sekmede aç,1.0,,,False,95,FOUND_EXACT,"detected='ByAkkan' vs expected='ByAkkan' (card near-text was 'ByAkkan otelini yeni sekmede aç', 35 candidates on page) -> score=95",2026-08-26T11:18:07Z
BOD006,Club Marma Hotel,Akyarlar,google_travel,1,https://www.google.com/travel/hotels/entity/ChkIj8qbsqi-7bAUGg0vZy8xMXEyeWtoNF8yEAE?q=Club%20Marma%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwj_yYuElr6WAxVRe0ECHVDNCIwQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,Club Marma Hotel,Club Marma Hotel otelini yeni sekmede aç,1.0,,,False,95,FOUND_EXACT,"detected='Club Marma Hotel' vs expected='Club Marma Hotel' (card near-text was 'Club Marma Hotel otelini yeni sekmede aç', 35 candidates on page) -> score=95",2026-08-26T11:18:21Z
BOD009,LİV OTEL,Akyarlar,google_travel,1,https://www.google.com/travel/hotels/entity?q=L%C4%B0V%20OTEL%20Akyarlar%20Bodrum&ved=2ahUKEwix0LeKlr6WAxVOb0ECHew7Fu4QvukIegUIAxDRAw&ts=CAEaOQobEhkKDS9nLzExaDR3OF83cG46CExpdiBPdGVsEhoSFAoHCOoPEAkYBxIHCOoPEAkYCBgBMgIIAioHCgU6A1RSWQ&rp=OAFIAg,Liv Otel · 304 sonuç,Yeni sekmede aç,0.6154,,,False,60,REJECTED_CANDIDATE,"detected='Liv Otel · 304 sonuç' vs expected='LİV OTEL' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=60",2026-08-26T11:18:34Z
BOD010,Mare Garden Hotel,Akyarlar,google_travel,1,https://www.google.com/travel/hotels/entity/ChoI46nXrt78--3mARoNL2cvMTFqOTJjZHdqZxAB?q=Mare%20Garden%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwic3diRlr6WAxVjg3wGHQE6LnYQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,Mare Garden Hotel,Mare Garden Hotel otelini yeni sekmede aç,1.0,,,False,95,FOUND_EXACT,"detected='Mare Garden Hotel' vs expected='Mare Garden Hotel' (card near-text was 'Mare Garden Hotel otelini yeni sekmede aç', 35 candidates on page) -> score=95",2026-08-26T11:18:49Z
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,google_travel,1,https://www.google.com/travel/hotels/entity/ChoI2P6A2dPx45zGARoNL2cvMTFwYzRzdmNoORAB?q=Radisson%20Collection%20Hotel%2C%20Bodrum%20Akyarlar%20Bodrum&ved=2ahUKEwjszO-Xlr6WAxXABQYAHdCYLG8QvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,"Radisson Collection Hotel, Bodrum","Radisson Collection Hotel, Bodrum otelini yeni sekmede aç",1.0,,,False,95,FOUND_EXACT,"detected='Radisson Collection Hotel, Bodrum' vs expected='Radisson Collection Hotel, Bodrum' (card near-text was 'Radisson Collection Hotel, Bodrum otelini yeni sekmede aç', 35 candidates on page) -> score=95",2026-08-26T11:19:02Z
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,google_travel,1,https://www.google.com/travel/hotels/entity/ChkI-e2c7Lvi3so-Gg0vZy8xMXZscmIxNWZwEAE?q=Suum%20Bodrum%20Hotel%20%26%20Beach%20Akyarlar%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwjDy8-elr6WAxWJOQYAHSpSBBkQvukIegQIAxAC,Suum Bodrum Hotel & Beach,Suum Bodrum Hotel & Beach otelini yeni sekmede aç,1.0,,,False,95,FOUND_EXACT,"detected='Suum Bodrum Hotel & Beach' vs expected='Suum Bodrum Hotel & Beach' (card near-text was 'Suum Bodrum Hotel & Beach otelini yeni sekmede aç', 35 candidates on page) -> score=95",2026-08-26T11:19:17Z
