hotel_id,hotel_name,area,platform,candidate_rank,candidate_url,candidate_detected_name,candidate_location,name_similarity,area_match,address_match,brand_collision_flag,candidate_score,validation_status,validation_note,discovered_at
BOD001,Aksoy Taş Ev,Akyarlar,trip,1,,,Aksoy Taş Ev,0.0,,,False,0,NOT_FOUND,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=Aksoy%20Tas%20Ev%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=Aksoy%20Tas%20Ev&searchType=LM&optionId=0&searchValue=131%7C0*131*36.968049%7C27.291845%7CAksoy%20Tas%20Ev%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,2026-08-26T20:54:07Z
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,1,https://www.trip.com/hotels/detail/?hotelId=106791418,Aspat Hotel Bodrum - Beach Restaurant,ASPAT HOTEL BODRUM Beach Restaurant,1.0,,,False,95,FOUND_EXACT,suggestion='ASPAT HOTEL BODRUM Beach Restaurant' (sim=1.00) detected='Aspat Hotel Bodrum - Beach Restaurant' vs expected='ASPAT HOTEL BODRUM Beach Restaurant' -> score=95,2026-08-26T20:54:23Z
BOD005,ByAkkan,Akyarlar,trip,1,https://www.trip.com/hotels/detail/?hotelId=96160652,Byakkan Hotel,ByAkkan,0.7,,,False,68,REJECTED_CANDIDATE,suggestion='ByAkkan' (sim=1.00) detected='Byakkan Hotel' vs expected='ByAkkan' -> score=68,2026-08-26T20:54:47Z
BOD006,Club Marma Hotel,Akyarlar,trip,1,,,,0.0,,,False,0,NOT_FOUND,Search box not found (site layout may have changed).,2026-08-26T20:55:13Z
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,trip,1,https://www.trip.com/hotels/detail/?hotelId=4057611,La Brezza Suite & Hotel,LA BREZZA SUITE &HOTEL,1.0,,,False,95,FOUND_EXACT,suggestion='LA BREZZA SUITE &HOTEL' (sim=1.00) detected='La Brezza Suite & Hotel' vs expected='LA BREZZA SUITE &HOTEL' -> score=95,2026-08-26T20:55:17Z
BOD009,LİV OTEL,Akyarlar,trip,1,https://www.trip.com/hotels/detail/?hotelId=9024606,LIV Hotel by Bellazure,LİV OTEL,0.5333,,,False,53,REJECTED_CANDIDATE,suggestion='LİV OTEL' (sim=1.00) detected='LIV Hotel by Bellazure' vs expected='LİV OTEL' -> score=53,2026-08-26T20:55:42Z
BOD015,The Ni Villas Akyarlar,Akyarlar,trip,1,,,The Ni Villas Akyarlar,0.0,,,False,0,NOT_FOUND,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=The%20Ni%20Villas%20Akyarlar%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=The%20Ni%20Villas%20Akyarlar&searchType=LM&optionId=0&searchValue=131%7C0*131*36.971672%7C27.2947534%7CThe%20Ni%20Villas%20Akyarlar%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,2026-08-26T20:56:07Z
BOD017,Ambrosia Otel Beach & Spa,Bitez,trip,1,https://www.trip.com/hotels/detail/?hotelId=3448116,Ambrosia Hotel Beach & Spa,Ambrosia Otel Beach & Spa,0.9787,,,False,93,FOUND_HIGH_CONFIDENCE,suggestion='Ambrosia Otel Beach & Spa' (sim=1.00) detected='Ambrosia Hotel Beach & Spa' vs expected='Ambrosia Otel Beach & Spa' -> score=93,2026-08-26T20:56:22Z
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,trip,1,https://www.trip.com/hotels/detail/?hotelId=7197123,Bitez Deniz Hotel,Bitez Deniz Hotel - Restaurant - Beach,0.6667,,,False,65,REJECTED_CANDIDATE,suggestion='Bitez Deniz Hotel - Restaurant - Beach' (sim=1.00) detected='Bitez Deniz Hotel' vs expected='Bitez Deniz Hotel - Restaurant - Beach' -> score=65,2026-08-26T20:56:48Z
BOD019,Bitez Garden Life Hotel&Suites,Bitez,trip,1,https://www.trip.com/hotels/detail/?hotelId=3152889,Bitez Garden Life,Bitez Garden Life Hotel&Suites,0.7234,,,False,70,REVIEW_REQUIRED,suggestion='Bitez Garden Life Hotel&Suites' (sim=1.00) detected='Bitez Garden Life' vs expected='Bitez Garden Life Hotel&Suites' -> score=70,2026-08-26T20:57:13Z
