rating_gap_mean,rating_gap_median
-0.218,-1.0
0.755,1.0
-1.955,-4.0
-0.192,0.4
0.991,0.0
-0.8,-0.5
0.05,0.0
-0.514,0.0
-0.347,0.0
1.055,1.0
-1.109,0.0
0.57,0.0
-2.052,-4.0
0.181,2.0
0.431,0.0
0.304,0.0
0.011,0.0
-0.013,0.5
1.0,0.0
1.342,1.0
0.327,0.0
-0.036,0.0
0.559,1.0
-0.018,0.0
-0.22,0.0
-0.781,0.0
-0.492,0.0
0.229,0.6
-0.017,0.5
-0.557,-0.5
-0.396,0.0
-0.143,0.0
0.675,0.0
-0.531,-1.0
-0.329,0.0
-0.099,0.0
-0.841,-0.5
0.185,0.0
-1.062,-1.0
0.097,0.0
-0.937,-0.5
-0.222,0.0
-0.251,0.0
0.468,1.0
0.119,0.0
0.182,0.0
-0.808,-1.0
0.191,0.0
-1.422,-3.0
0.067,0.0
-1.283,-1.0
-0.286,0.0
-0.277,0.0
0.496,0.0
-0.543,0.0
0.254,0.0
-0.539,0.0
1.906,3.5
