hotel_id,hotel_name,area,review_n,rating_profile,top_aspects,top_low_context_aspects,top_high_context_aspects,confidence_note
BOD001,Aksoy Taş Ev,Akyarlar,28,5.0,BEACH_SEA;ROOM;FOOD;LOCATION;CLEANLINESS,,BEACH_SEA;ROOM;FOOD,STRONGER
BOD002,Armonia Holiday Village & Spa,Akyarlar,10,3.6,ROOM;FOOD;BAR_DRINKS;BED_COMFORT;STAFF,CLEANLINESS;NOISE;POOL,ROOM;FOOD;BAR_DRINKS,MODERATE
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,30,4.43,BEACH_SEA;STAFF;ROOM;CLEANLINESS;LOCATION,SERVICE;MANAGEMENT;REFUND_PAYMENT,BEACH_SEA;STAFF;ROOM,STRONGER
BOD004,Bendis Beach Hotel,Akyarlar,10,2.0,ROOM;CLEANLINESS;FAMILY_KIDS;STAFF;PRICE_VALUE,ROOM;CLEANLINESS;FAMILY_KIDS,ANIMATION_ENTERTAINMENT;REFUND_PAYMENT,MODERATE
BOD005,ByAkkan,Akyarlar,9,4.56,STAFF;FOOD;CLEANLINESS;ROOM;SERVICE,HYGIENE;MANAGEMENT;PRICE_VALUE,FOOD;STAFF;ROOM,MODERATE
BOD006,Club Marma Hotel,Akyarlar,10,4.3,BEACH_SEA;FOOD;STAFF;ROOM;CLEANLINESS,MANAGEMENT;BAR_DRINKS;WIFI,BEACH_SEA;FOOD;STAFF,MODERATE
BOD007,Kefaluka Resort,Akyarlar,58,4.03,STAFF;FOOD;ANIMATION_ENTERTAINMENT;ROOM;BEACH_SEA,SERVICE;RESERVATION;REFUND_PAYMENT,STAFF;FOOD;ANIMATION_ENTERTAINMENT,STRONGER
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,20,5.0,ROOM;STAFF;FOOD;CLEANLINESS;BEACH_SEA,,ROOM;STAFF;FOOD,STRONGER
BOD010,Mare Garden Hotel,Akyarlar,10,3.2,BEACH_SEA;STAFF;CLEANLINESS;ROOM;FOOD,LOCATION;HYGIENE;BAR_DRINKS,COMMUNICATION,MODERATE
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,10,4.8,STAFF;FOOD;BEACH_SEA;CLEANLINESS;SERVICE,,STAFF;BEACH_SEA;FOOD,MODERATE
BOD012,Selectum Collection Bodrum,Akyarlar,10,4.1,FOOD;NOISE;STAFF;CLEANLINESS;ANIMATION_ENTERTAINMENT,FAMILY_KIDS,FOOD;NOISE;ANIMATION_ENTERTAINMENT,MODERATE
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,72,4.03,FOOD;ROOM;STAFF;CLEANLINESS;BEACH_SEA,RESERVATION;HYGIENE;AIR_CONDITIONING,FOOD;ROOM;STAFF,STRONGER
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,10,4.6,BAR_DRINKS;ROOM;STAFF;CLEANLINESS;FOOD,MANAGEMENT,BAR_DRINKS;ROOM;CLEANLINESS,MODERATE
BOD016,Xanadu Island,Akyarlar,10,3.8,CLEANLINESS;STAFF;FOOD;ROOM;BAR_DRINKS,LOCATION;COMMUNICATION;MANAGEMENT,CLEANLINESS;BAR_DRINKS;ROOM,MODERATE
BOD020,Bitez Risa Hotel,Bitez,50,4.32,STAFF;FOOD;PRICE_VALUE;FAMILY_KIDS;POOL,NOISE;RESERVATION;HYGIENE,STAFF;FOOD;PRICE_VALUE,STRONGER
BOD024,HAKAN OTEL,Bitez,11,4.1,FOOD;ROOM;CLEANLINESS;NOISE;PRICE_VALUE,ROOM;NOISE;POOL,FOOD;CLEANLINESS;ROOM,MODERATE
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,10,2.4,CLEANLINESS;ROOM;STAFF;FOOD;BAR_DRINKS,CLEANLINESS;ROOM;STAFF,,MODERATE
BOD026,Manuela Otel Bitez,Bitez,8,5.0,CLEANLINESS;BEACH_SEA;STAFF;ROOM;FOOD,,BEACH_SEA;CLEANLINESS;ROOM,MODERATE
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,10,2.6,ROOM;FOOD;PRICE_VALUE;CLEANLINESS;BAR_DRINKS,PRICE_VALUE;FOOD;ROOM,ANIMATION_ENTERTAINMENT;RESERVATION,MODERATE
BOD031,Okaliptus Otel,Bitez,9,3.33,ROOM;FOOD;CLEANLINESS;STAFF;BEACH_SEA,ROOM;FOOD;CLEANLINESS,BEACH_SEA;STAFF;BAR_DRINKS,MODERATE
BOD032,Paloma Family Club Bitez,Bitez,58,4.64,STAFF;FOOD;CLEANLINESS;BAR_DRINKS;ROOM,,STAFF;FOOD;BAR_DRINKS,STRONGER
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,38,4.71,ROOM;CLEANLINESS;LOCATION;FOOD;STAFF,AIR_CONDITIONING,ROOM;CLEANLINESS;LOCATION,STRONGER
BOD034,Çınar Butik Otel Bodrum,Bitez,10,2.7,CLEANLINESS;NOISE;PRICE_VALUE;ROOM;FOOD,CLEANLINESS;NOISE;FOOD,BAR_DRINKS;STAFF,MODERATE
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,10,5.0,STAFF;CLEANLINESS;FOOD;ROOM;BED_COMFORT,,STAFF;CLEANLINESS;FOOD,MODERATE
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,10,4.6,SERVICE;STAFF;ROOM;CLEANLINESS;FOOD,,SERVICE;ROOM;STAFF,MODERATE
BOD045,Salmakis Resort & Spa,Bodrum Merkez,64,3.86,FOOD;STAFF;CLEANLINESS;ROOM;BEACH_SEA,SERVICE;CHECKIN_CHECKOUT;MANAGEMENT,FOOD;STAFF;CLEANLINESS,STRONGER
BOD048,Babana Hotel,Göltürkbükü,10,5.0,STAFF;FOOD;BEACH_SEA;ROOM;CLEANLINESS,,STAFF;FOOD;BEACH_SEA,MODERATE
BOD049,Casa Del Mar Bodrum,Göltürkbükü,26,3.5,CLEANLINESS;ROOM;FAMILY_KIDS;LOCATION;FOOD,CLEANLINESS;ROOM;STAFF,FAMILY_KIDS;LOCATION;BAR_DRINKS,STRONGER
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,20,4.5,STAFF;FOOD;BEACH_SEA;ROOM;CLEANLINESS,,STAFF;BEACH_SEA;FOOD,STRONGER
BOD052,Flamm Bodrum,Göltürkbükü,63,4.54,STAFF;FOOD;BEACH_SEA;ROOM;SERVICE,AIR_CONDITIONING,FOOD;STAFF;BEACH_SEA,STRONGER
BOD054,Lavinya Maison,Göltürkbükü,10,4.6,BEACH_SEA;FOOD;CLEANLINESS;ROOM;STAFF,BED_COMFORT,BEACH_SEA;FOOD;CLEANLINESS,MODERATE
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,10,4.6,STAFF;BEACH_SEA;FOOD;ROOM;CLEANLINESS,BAR_DRINKS,BEACH_SEA;STAFF;FOOD,MODERATE
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,36,4.61,SERVICE;STAFF;ROOM;LOCATION;FACILITIES,PRICE_VALUE;FAMILY_KIDS;CHECKIN_CHECKOUT,SERVICE;STAFF;LOCATION,STRONGER
BOD057,Selvi Bodrum,Göltürkbükü,79,3.51,ROOM;BEACH_SEA;FOOD;PRICE_VALUE;STAFF,WIFI,PRICE_VALUE;STAFF;LOCATION,STRONGER
BOD058,Bodrum Beach Resort,Gümbet,10,4.4,ROOM;FOOD;FAMILY_KIDS;POOL;PRICE_VALUE,COMMUNICATION;CHECKIN_CHECKOUT;FACILITIES,ROOM;FOOD;POOL,MODERATE
BOD060,Club Shark Hotel,Gümbet,77,4.3,STAFF;CLEANLINESS;FOOD;ROOM;ANIMATION_ENTERTAINMENT,CHECKIN_CHECKOUT;REFUND_PAYMENT,STAFF;CLEANLINESS;FOOD,STRONGER
BOD061,Gümbet Anıl Beach,Gümbet,65,4.0,FOOD;ROOM;STAFF;CLEANLINESS;BEACH_SEA,CHECKIN_CHECKOUT;FACILITIES;RESERVATION,FOOD;ROOM;STAFF,STRONGER
BOD063,Jasmin Beach Hotel,Gümbet,30,3.77,FOOD;ROOM;CLEANLINESS;STAFF;BAR_DRINKS,RESERVATION;COMMUNICATION;AIR_CONDITIONING,FOOD;CLEANLINESS;ROOM,STRONGER
BOD064,Jasmin Elite Residence & Spa,Gümbet,29,3.79,ROOM;CLEANLINESS;STAFF;FOOD;LOCATION,STAFF;CHECKIN_CHECKOUT;COMMUNICATION,ROOM;CLEANLINESS;FOOD,STRONGER
BOD065,Mirada Exclusive Bodrum,Gümbet,20,4.4,FOOD;STAFF;BEACH_SEA;BAR_DRINKS;ROOM,,FOOD;BEACH_SEA;STAFF,STRONGER
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,10,4.02,STAFF;ROOM;FOOD;ANIMATION_ENTERTAINMENT;BEACH_SEA,MANAGEMENT;REFUND_PAYMENT,ROOM;FOOD;STAFF,MODERATE
BOD067,Sami Beach Hotel,Gümbet,59,3.81,FOOD;STAFF;ROOM;BEACH_SEA;CLEANLINESS,ROOM;FACILITIES;CHECKIN_CHECKOUT,FOOD;STAFF;BEACH_SEA,STRONGER
BOD068,Selectum Colours Bodrum,Gümbet,9,4.0,BAR_DRINKS;STAFF;FOOD;CLEANLINESS;ROOM,,BAR_DRINKS;ROOM;FOOD,MODERATE
BOD070,The Luvi Hotel,Gümbet,30,3.73,STAFF;CLEANLINESS;ROOM;FOOD;BEACH_SEA,FACILITIES;AIR_CONDITIONING;NOISE,CLEANLINESS;STAFF;FOOD,STRONGER
BOD071,Tropicana Beach Hotel,Gümbet,25,3.36,STAFF;ROOM;CLEANLINESS;FOOD;BEACH_SEA,CLEANLINESS;NOISE;PRICE_VALUE,LOCATION;FAMILY_KIDS;TRANSPORT_TRANSFER,STRONGER
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,25,4.12,FOOD;STAFF;ROOM;PRICE_VALUE;BEACH_SEA,NOISE;REFUND_PAYMENT,FOOD;BEACH_SEA;PRICE_VALUE,STRONGER
BOD074,Begonvil Gümüşlük,Gümüşlük,27,4.85,CLEANLINESS;BEACH_SEA;ROOM;LOCATION;MANAGEMENT,,CLEANLINESS;BEACH_SEA;ROOM,STRONGER
BOD077,Ladonia Hotels Zemda,Gümüşlük,20,2.05,CLEANLINESS;ROOM;STAFF;BEACH_SEA;PRICE_VALUE,CLEANLINESS;ROOM;STAFF,,STRONGER
BOD080,Myndos Oda & kahvalti,Gümüşlük,10,3.8,ROOM;CLEANLINESS;BEACH_SEA;STAFF;LOCATION,CLEANLINESS;BEACH_SEA;LOCATION,ROOM;BEACH_SEA;STAFF,MODERATE
BOD086,Vega Aparts,Gümüşlük,10,4.5,STAFF;CLEANLINESS;PRICE_VALUE;ROOM;LOCATION,BAR_DRINKS;CHECKIN_CHECKOUT,STAFF;CLEANLINESS;PRICE_VALUE,MODERATE
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,10,3.2,CLEANLINESS;FACILITIES;BEACH_SEA;PRICE_VALUE;LOCATION,CLEANLINESS;FACILITIES;MANAGEMENT,BEACH_SEA;PRICE_VALUE;ROOM,MODERATE
BOD088,Baia Bodrum Hotel,Gündoğan,20,3.7,ROOM;FOOD;BEACH_SEA;STAFF;BAR_DRINKS,FACILITIES;PRICE_VALUE;CHECKIN_CHECKOUT,ROOM;STAFF;BEACH_SEA,STRONGER
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,20,4.6,STAFF;ROOM;BEACH_SEA;FOOD;LOCATION,REFUND_PAYMENT;RESERVATION;HYGIENE,STAFF;ROOM;BEACH_SEA,STRONGER
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,9,4.11,STAFF;FOOD;CLEANLINESS;ROOM;BEACH_SEA,PRICE_VALUE;NOISE;POOL,STAFF;FOOD;ROOM,MODERATE
BOD095,Mivara Luxury Bodrum,Gündoğan,10,3.9,STAFF;LOCATION;FOOD;ROOM;BEACH_SEA,CHECKIN_CHECKOUT;MANAGEMENT,LOCATION;STAFF;ROOM,MODERATE
BOD096,Olira Boutique Hotel&SPA,Gündoğan,10,5.0,CLEANLINESS;ROOM;STAFF;LOCATION;SERVICE,,CLEANLINESS;ROOM;STAFF,MODERATE
BOD098,Swissôtel Living Bodrum,Gündoğan,29,4.62,STAFF;ROOM;SERVICE;FOOD;LOCATION,,ROOM;STAFF;SERVICE,STRONGER
BOD099,Villa Oliva Butik Otel,Gündoğan,10,5.0,FOOD;MANAGEMENT;ROOM;CLEANLINESS;FAMILY_KIDS,,FOOD;MANAGEMENT;ROOM,MODERATE
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,10,4.6,STAFF;CLEANLINESS;LOCATION;FOOD;ROOM,,CLEANLINESS;LOCATION;STAFF,MODERATE
BOD102,Akyalı Butik Hotel,Güvercinlik,10,3.8,CLEANLINESS;ROOM;STAFF;LOCATION;PRICE_VALUE,ROOM;BED_COMFORT;CHECKIN_CHECKOUT,CLEANLINESS;STAFF;LOCATION,MODERATE
BOD104,Greenport Bodrum,Güvercinlik,27,2.04,ROOM;FOOD;CLEANLINESS;BAR_DRINKS;STAFF,ROOM;FOOD;CLEANLINESS,POOL;FAMILY_KIDS;TRANSPORT_TRANSFER,STRONGER
BOD105,İsolina Hotel,Güvercinlik,40,4.38,STAFF;FOOD;ROOM;LOCATION;BAR_DRINKS,NOISE;MANAGEMENT;FAMILY_KIDS,STAFF;FOOD;ROOM,STRONGER
BOD106,La Blanche Island Bodrum,Güvercinlik,11,3.73,ROOM;STAFF;FOOD;FACILITIES;BEACH_SEA,,FACILITIES;FOOD;BAR_DRINKS,MODERATE
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,10,4.5,ROOM;STAFF;CLEANLINESS;BEACH_SEA;FOOD,MANAGEMENT;BAR_DRINKS;PRICE_VALUE,ROOM;BEACH_SEA;CLEANLINESS,MODERATE
BOD108,Lujo Hotel Bodrum,Güvercinlik,9,3.56,FOOD;BEACH_SEA;ROOM;SERVICE;STAFF,FOOD;ROOM;SERVICE,BEACH_SEA;STAFF;LOCATION,MODERATE
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,43,4.12,ROOM;STAFF;FOOD;CLEANLINESS;BEACH_SEA,COMMUNICATION,ROOM;STAFF;FOOD,STRONGER
BOD111,Zena Hotel Bodrum,Güvercinlik,30,3.83,FOOD;STAFF;CLEANLINESS;ROOM;BEACH_SEA,NOISE;PRICE_VALUE;RESERVATION,FOOD;STAFF;CLEANLINESS,STRONGER
BOD113,Kadıkale Resort,Kadıkalesi,11,3.2,ROOM;STAFF;CLEANLINESS;FOOD;BEACH_SEA,BAR_DRINKS;BEACH_SEA;PRICE_VALUE,FOOD;STAFF;FACILITIES,MODERATE
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,10,5.0,ROOM;POOL;CLEANLINESS;STAFF;BEACH_SEA,,ROOM;POOL;CLEANLINESS,MODERATE
