hotel_id,aspect,google_mention_rate,google_low_context_share,trip_mention_rate,trip_low_context_share,consistency
BOD002,STAFF,60.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD002,CLEANLINESS,50.0,40.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD002,HYGIENE,10.0,0.0,0.0,,LOW_SUPPORT
BOD002,FOOD,80.0,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD002,ROOM,80.0,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD002,BED_COMFORT,60.0,33.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD002,BEACH_SEA,60.0,33.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD002,POOL,50.0,40.0,9.1,100.0,GOOGLE_ONLY_SIGNAL
BOD002,SERVICE,20.0,0.0,0.0,,LOW_SUPPORT
BOD002,PRICE_VALUE,50.0,20.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD002,LOCATION,60.0,16.7,0.0,,GOOGLE_ONLY_SIGNAL
BOD002,FACILITIES,10.0,0.0,9.1,0.0,LOW_SUPPORT
BOD002,NOISE,50.0,40.0,18.2,100.0,GOOGLE_ONLY_SIGNAL
BOD002,FAMILY_KIDS,60.0,33.3,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD002,ANIMATION_ENTERTAINMENT,50.0,20.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD002,AIR_CONDITIONING,20.0,50.0,0.0,,LOW_SUPPORT
BOD002,CHECKIN_CHECKOUT,20.0,0.0,9.1,100.0,LOW_SUPPORT
BOD002,RESERVATION,0.0,,9.1,0.0,LOW_SUPPORT
BOD002,REFUND_PAYMENT,10.0,100.0,0.0,,LOW_SUPPORT
BOD002,MANAGEMENT,20.0,0.0,0.0,,LOW_SUPPORT
BOD002,BAR_DRINKS,70.0,14.3,36.4,25.0,BOTH_SOURCE_SIGNAL
BOD002,WIFI,10.0,100.0,0.0,,LOW_SUPPORT
BOD003,STAFF,53.3,12.5,35.7,20.0,BOTH_SOURCE_SIGNAL
BOD003,CLEANLINESS,40.0,25.0,35.7,20.0,BOTH_SOURCE_SIGNAL
BOD003,HYGIENE,3.3,0.0,7.1,50.0,LOW_SUPPORT
BOD003,FOOD,36.7,9.1,32.1,33.3,BOTH_SOURCE_SIGNAL
BOD003,ROOM,53.3,25.0,50.0,28.6,BOTH_SOURCE_SIGNAL
BOD003,BED_COMFORT,23.3,14.3,10.7,0.0,BOTH_SOURCE_SIGNAL
BOD003,BEACH_SEA,60.0,11.1,46.4,7.7,BOTH_SOURCE_SIGNAL
BOD003,POOL,13.3,0.0,25.0,0.0,BOTH_SOURCE_SIGNAL
BOD003,SERVICE,20.0,50.0,10.7,66.7,BOTH_SOURCE_SIGNAL
BOD003,PRICE_VALUE,33.3,30.0,21.4,33.3,BOTH_SOURCE_SIGNAL
BOD003,LOCATION,36.7,9.1,42.9,8.3,BOTH_SOURCE_SIGNAL
BOD003,FACILITIES,20.0,16.7,14.3,50.0,BOTH_SOURCE_SIGNAL
BOD003,NOISE,23.3,28.6,14.3,25.0,BOTH_SOURCE_SIGNAL
BOD003,FAMILY_KIDS,13.3,25.0,7.1,0.0,GOOGLE_ONLY_SIGNAL
BOD003,AIR_CONDITIONING,3.3,100.0,3.6,0.0,LOW_SUPPORT
BOD003,CHECKIN_CHECKOUT,6.7,50.0,3.6,100.0,LOW_SUPPORT
BOD003,RESERVATION,3.3,100.0,3.6,100.0,LOW_SUPPORT
BOD003,REFUND_PAYMENT,6.7,100.0,0.0,,LOW_SUPPORT
BOD003,MANAGEMENT,16.7,40.0,3.6,0.0,GOOGLE_ONLY_SIGNAL
BOD003,BAR_DRINKS,20.0,33.3,7.1,50.0,GOOGLE_ONLY_SIGNAL
BOD003,WIFI,0.0,,3.6,0.0,LOW_SUPPORT
BOD004,STAFF,70.0,71.4,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,CLEANLINESS,80.0,87.5,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,HYGIENE,10.0,100.0,0.0,,LOW_SUPPORT
BOD004,FOOD,60.0,50.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,ROOM,90.0,66.7,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,BED_COMFORT,40.0,50.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,BEACH_SEA,50.0,60.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,POOL,40.0,75.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,SERVICE,10.0,100.0,9.1,0.0,LOW_SUPPORT
BOD004,PRICE_VALUE,70.0,57.1,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,LOCATION,20.0,50.0,0.0,,LOW_SUPPORT
BOD004,FACILITIES,60.0,83.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,NOISE,60.0,83.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,FAMILY_KIDS,80.0,62.5,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,ANIMATION_ENTERTAINMENT,40.0,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,CHECKIN_CHECKOUT,30.0,66.7,9.1,100.0,GOOGLE_ONLY_SIGNAL
BOD004,RESERVATION,50.0,80.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,REFUND_PAYMENT,10.0,0.0,0.0,,LOW_SUPPORT
BOD004,TRANSPORT_TRANSFER,10.0,100.0,0.0,,LOW_SUPPORT
BOD004,MANAGEMENT,30.0,66.7,0.0,,GOOGLE_ONLY_SIGNAL
BOD004,COMMUNICATION,10.0,100.0,0.0,,LOW_SUPPORT
BOD004,BAR_DRINKS,50.0,60.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD007,STAFF,66.7,20.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,CLEANLINESS,48.3,24.1,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,HYGIENE,8.3,40.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,FOOD,61.7,18.9,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,ROOM,61.7,24.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,BED_COMFORT,23.3,21.4,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,BEACH_SEA,60.0,22.2,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,POOL,40.0,29.2,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,SERVICE,35.0,47.6,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,PRICE_VALUE,31.7,36.8,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,LOCATION,40.0,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,FACILITIES,41.7,36.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,NOISE,28.3,5.9,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,FAMILY_KIDS,48.3,10.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,ANIMATION_ENTERTAINMENT,63.3,10.5,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD007,AIR_CONDITIONING,1.7,0.0,0.0,,LOW_SUPPORT
BOD007,CHECKIN_CHECKOUT,13.3,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,RESERVATION,16.7,40.0,0.0,,GOOGLE_ONLY_SIGNAL
