hotel_id,hotel_name,platform,v1_status,v2_status,change_type
BOD001,Aksoy Taş Ev,google_travel,null,verified_direct,NEW_VERIFIED
BOD002,Armonia Holiday Village & Spa,google_travel,null,verified_direct,NEW_VERIFIED
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,google_travel,null,verified_direct,NEW_VERIFIED
BOD004,Bendis Beach Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD005,ByAkkan,google_travel,null,verified_direct,NEW_VERIFIED
BOD006,Club Marma Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD007,Kefaluka Resort,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD008,LA BREZZA SUITE &HOTEL,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD009,LİV OTEL,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD010,Mare Garden Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD011,"Radisson Collection Hotel, Bodrum",google_travel,null,verified_direct,NEW_VERIFIED
BOD012,Selectum Collection Bodrum,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD014,Suum Bodrum Hotel & Beach,google_travel,null,verified_direct,NEW_VERIFIED
BOD015,The Ni Villas Akyarlar,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD016,Xanadu Island,google_travel,null,verified_direct,NEW_VERIFIED
BOD017,Ambrosia Otel Beach & Spa,google_travel,null,review_required,REVIEW_REQUIRED
BOD018,Bitez Deniz Hotel - Restaurant - Beach,google_travel,null,review_required,REVIEW_REQUIRED
BOD019,Bitez Garden Life Hotel&Suites,google_travel,null,review_required,REVIEW_REQUIRED
BOD020,Bitez Risa Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",google_travel,null,verified_direct,NEW_VERIFIED
BOD022,Dolce Vita Luxury Bungalows,google_travel,null,review_required,REVIEW_REQUIRED
BOD023,Doria Hotel Bodrum,google_travel,null,review_required,REVIEW_REQUIRED
BOD024,HAKAN OTEL,google_travel,null,verified_direct,NEW_VERIFIED
BOD025,Halikarya Hotel & Restaurant Beach,google_travel,null,verified_direct,NEW_VERIFIED
BOD026,Manuela Otel Bitez,google_travel,null,verified_direct,NEW_VERIFIED
BOD027,Meis Apart Hotel,google_travel,null,review_required,REVIEW_REQUIRED
BOD028,Mira Beach Resort Bodrum,google_travel,null,review_required,REVIEW_REQUIRED
BOD029,Mumu Bodrum Hotel,google_travel,null,review_required,REVIEW_REQUIRED
BOD030,Natur Garden Hotel Bitez Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD031,Okaliptus Otel,google_travel,null,verified_direct,NEW_VERIFIED
BOD032,Paloma Family Club Bitez,google_travel,null,verified_direct,NEW_VERIFIED
BOD033,Ramada Resort by Wyndham Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD034,Çınar Butik Otel Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD035,Azka Otel - Bardakçı Koyu,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD036,Bodrium Hotel & SPA,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD037,Bodrum Bay Resort,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD038,Casa Mare Bodrum,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD039,Casa Nonna Bodrum,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD040,Diamond of Bodrum Hotel,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD041,La Quinta by Wyndham Bodrum,google_travel,null,review_required,REVIEW_REQUIRED
BOD042,Mandarin Resort Hotel,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD043,METT Hotel & Beach Resort Bodrum,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD044,Noa Suite Hotel,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD045,Salmakis Resort & Spa,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD046,Senses Hotel,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD047,The Marmara Bodrum,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD048,Babana Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD049,Casa Del Mar Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD050,Daphnis Hotel Gölköy,google_travel,null,review_required,REVIEW_REQUIRED
BOD051,Faros Bodrum Hotel Göltürkbükü,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD052,Flamm Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD053,Gölköy Suites,google_travel,null,review_required,REVIEW_REQUIRED
BOD054,Lavinya Maison,google_travel,null,verified_direct,NEW_VERIFIED
BOD055,Lavinya Otel Göltürkbükü,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD056,"Mandarin Oriental, Bodrum",google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD057,Selvi Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD058,Bodrum Beach Resort,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD059,Bodrum Hotel Baba,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD060,Club Shark Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD061,Gümbet Anıl Beach,google_travel,null,verified_direct,NEW_VERIFIED
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",google_travel,null,review_required,REVIEW_REQUIRED
BOD063,Jasmin Beach Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD064,Jasmin Elite Residence & Spa,google_travel,null,verified_direct,NEW_VERIFIED
BOD065,Mirada Exclusive Bodrum,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD066,Royal Asarlik Beach Hotel & Spa,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD067,Sami Beach Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD068,Selectum Colours Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD069,Siesta Beach Apart,google_travel,null,review_required,REVIEW_REQUIRED
BOD070,The Luvi Hotel,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD071,Tropicana Beach Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD072,VERY CHIC BODRUM,google_travel,null,review_required,REVIEW_REQUIRED
BOD073,Arriba Apartment & Restaurant & Bungalows,google_travel,null,verified_direct,NEW_VERIFIED
BOD074,Begonvil Gümüşlük,google_travel,null,verified_direct,NEW_VERIFIED
BOD075,Benjamin Otel,google_travel,null,review_required,REVIEW_REQUIRED
BOD076,Gümüşlük No3,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD077,Ladonia Hotels Zemda,google_travel,null,verified_direct,NEW_VERIFIED
BOD078,Liman Hotel Gümüslük (Adult only),google_travel,null,review_required,REVIEW_REQUIRED
BOD079,Metin's Gümüşlük - Hotel & Restaurant,google_travel,null,review_required,REVIEW_REQUIRED
BOD080,Myndos Oda & kahvalti,google_travel,null,verified_direct,NEW_VERIFIED
BOD081,Oda Bodrum Gümüşlük,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD082,Otel Gümüşlük,google_travel,null,review_required,REVIEW_REQUIRED
BOD083,Oza butik hotel,google_travel,null,review_required,REVIEW_REQUIRED
BOD084,Paradise Garden Apartments,google_travel,null,review_required,REVIEW_REQUIRED
BOD085,Paradise Gümüşlük,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD086,Vega Aparts,google_travel,null,verified_direct,NEW_VERIFIED
BOD087,Wanderheaven Camping & Tiny House Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD088,Baia Bodrum Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD089,Cape Bodrum Luxury Hotel & Beach,google_travel,null,verified_direct,NEW_VERIFIED
BOD090,Costa Farilya Special Class Hotel Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD091,Gündoğan Suites,google_travel,null,review_required,REVIEW_REQUIRED
BOD092,Liona Hotel,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD093,Malta Bodrum Hotel,google_travel,null,review_required,REVIEW_REQUIRED
BOD094,Marje Villas,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD095,Mivara Luxury Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD096,Olira Boutique Hotel&SPA,google_travel,null,verified_direct,NEW_VERIFIED
BOD097,OLİVE TREE HOTEL,google_travel,null,review_required,REVIEW_REQUIRED
BOD098,Swissôtel Living Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD099,Villa Oliva Butik Otel,google_travel,null,verified_direct,NEW_VERIFIED
BOD100,Villa Rustica Hotel,google_travel,null,review_required,REVIEW_REQUIRED
BOD101,Vita Bella Hotel Resort & Spa,google_travel,null,verified_direct,NEW_VERIFIED
BOD102,Akyalı Butik Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD103,Green Bay Resort & Spa Bodrum,google_travel,null,review_required,REVIEW_REQUIRED
BOD104,Greenport Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD105,İsolina Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD106,La Blanche Island Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD107,Le Méridien Bodrum Beach Resort,google_travel,null,verified_direct,NEW_VERIFIED
BOD108,Lujo Hotel Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD109,Oscar Seaside Hotel & Spa,google_travel,null,verified_direct,NEW_VERIFIED
BOD110,Titanic Luxury Collection Bodrum,google_travel,null,review_required,REVIEW_REQUIRED
BOD111,Zena Hotel Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD112,Azure By Yelken Hotel,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD113,Kadıkale Resort,google_travel,verified_direct,verified_direct,UNCHANGED_VERIFIED
BOD114,Sianji Well-Being Resort Thermal & Spa,google_travel,null,review_required,REVIEW_REQUIRED
BOD115,Yasmin Bodrum Resort,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD116,Acropol Of Bodrum Beach Hotel - Restaurant,google_travel,null,verified_direct,NEW_VERIFIED
BOD117,Altınkaya Hotel,google_travel,null,review_required,REVIEW_REQUIRED
BOD118,Amfora Hotel,google_travel,null,NOT_FOUND,STILL_NOT_FOUND
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",google_travel,null,verified_direct,NEW_VERIFIED
BOD120,Celeste Bella Luxury Hotel & Spa,google_travel,null,verified_direct,NEW_VERIFIED
BOD121,Eskiyalı Otel,google_travel,null,review_required,REVIEW_REQUIRED
BOD122,Florida Otel,google_travel,null,verified_direct,NEW_VERIFIED
BOD123,Hotel Marma Beach,google_travel,null,verified_direct,NEW_VERIFIED
BOD124,Irmak Boutique Hotel,google_travel,null,review_required,REVIEW_REQUIRED
BOD125,Kefi Beach Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD126,Khai Hotel Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD127,Kriss Hotel,google_travel,null,verified_direct,NEW_VERIFIED
BOD128,Lugga Boutique Hotel & Beach,google_travel,null,verified_direct,NEW_VERIFIED
BOD129,Meggs Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
BOD130,Petunya Beach Resort,google_travel,null,verified_direct,NEW_VERIFIED
BOD131,Regia Mare Beach Hotel Bodrum,google_travel,null,verified_direct,NEW_VERIFIED
