hotel_id,hotel_name,area,has_google_travel_verified,has_trip_verified,has_tripadvisor_verified,platform_coverage_count
BOD001,Aksoy Taş Ev,Akyarlar,False,False,False,0
BOD002,Armonia Holiday Village & Spa,Akyarlar,False,True,True,2
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,False,False,True,1
BOD004,Bendis Beach Hotel,Akyarlar,False,True,True,2
BOD005,ByAkkan,Akyarlar,False,False,False,0
BOD006,Club Marma Hotel,Akyarlar,False,False,False,0
BOD007,Kefaluka Resort,Akyarlar,True,True,True,3
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,True,False,False,1
BOD009,LİV OTEL,Akyarlar,False,False,False,0
BOD010,Mare Garden Hotel,Akyarlar,False,True,True,2
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,False,True,True,2
BOD012,Selectum Collection Bodrum,Akyarlar,True,True,True,3
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,True,True,True,3
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,False,True,True,2
BOD015,The Ni Villas Akyarlar,Akyarlar,False,False,False,0
BOD016,Xanadu Island,Akyarlar,False,True,True,2
BOD017,Ambrosia Otel Beach & Spa,Bitez,False,False,False,0
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,False,False,False,0
BOD019,Bitez Garden Life Hotel&Suites,Bitez,False,False,False,0
BOD020,Bitez Risa Hotel,Bitez,False,False,False,0
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,False,False,False,0
BOD022,Dolce Vita Luxury Bungalows,Bitez,False,False,False,0
BOD023,Doria Hotel Bodrum,Bitez,False,False,False,0
BOD024,HAKAN OTEL,Bitez,False,False,False,0
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,False,False,False,0
BOD026,Manuela Otel Bitez,Bitez,False,False,False,0
BOD027,Meis Apart Hotel,Bitez,False,False,False,0
BOD028,Mira Beach Resort Bodrum,Bitez,False,False,False,0
BOD029,Mumu Bodrum Hotel,Bitez,False,False,False,0
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,False,False,False,0
BOD031,Okaliptus Otel,Bitez,False,False,False,0
BOD032,Paloma Family Club Bitez,Bitez,False,False,False,0
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,False,False,False,0
BOD034,Çınar Butik Otel Bodrum,Bitez,False,False,False,0
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,False,False,True,1
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,True,False,True,2
BOD037,Bodrum Bay Resort,Bodrum Merkez,False,False,False,0
BOD038,Casa Mare Bodrum,Bodrum Merkez,False,False,False,0
BOD039,Casa Nonna Bodrum,Bodrum Merkez,False,False,False,0
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,False,False,0
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,False,False,False,0
BOD042,Mandarin Resort Hotel,Bodrum Merkez,False,False,False,0
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,True,False,False,1
BOD044,Noa Suite Hotel,Bodrum Merkez,False,False,False,0
BOD045,Salmakis Resort & Spa,Bodrum Merkez,True,False,False,1
BOD046,Senses Hotel,Bodrum Merkez,False,False,False,0
BOD047,The Marmara Bodrum,Bodrum Merkez,False,False,False,0
BOD048,Babana Hotel,Göltürkbükü,False,False,False,0
BOD049,Casa Del Mar Bodrum,Göltürkbükü,False,False,False,0
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,False,False,False,0
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,True,True,True,3
BOD052,Flamm Bodrum,Göltürkbükü,False,False,True,1
BOD053,Gölköy Suites,Göltürkbükü,False,False,True,1
BOD054,Lavinya Maison,Göltürkbükü,False,False,False,0
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,True,True,True,3
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,True,True,True,3
BOD057,Selvi Bodrum,Göltürkbükü,False,False,True,1
BOD058,Bodrum Beach Resort,Gümbet,True,True,True,3
BOD059,Bodrum Hotel Baba,Gümbet,True,True,False,2
BOD060,Club Shark Hotel,Gümbet,False,False,False,0
BOD061,Gümbet Anıl Beach,Gümbet,False,False,False,0
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,False,False,False,0
BOD063,Jasmin Beach Hotel,Gümbet,False,False,False,0
BOD064,Jasmin Elite Residence & Spa,Gümbet,False,False,False,0
BOD065,Mirada Exclusive Bodrum,Gümbet,True,False,False,1
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,True,False,False,1
BOD067,Sami Beach Hotel,Gümbet,False,False,False,0
BOD068,Selectum Colours Bodrum,Gümbet,False,False,False,0
BOD069,Siesta Beach Apart,Gümbet,False,False,False,0
BOD070,The Luvi Hotel,Gümbet,True,False,False,1
BOD071,Tropicana Beach Hotel,Gümbet,False,True,True,2
BOD072,VERY CHIC BODRUM,Gümbet,False,True,True,2
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,False,True,True,2
BOD074,Begonvil Gümüşlük,Gümüşlük,False,True,True,2
BOD075,Benjamin Otel,Gümüşlük,False,False,True,1
BOD076,Gümüşlük No3,Gümüşlük,False,True,True,2
BOD077,Ladonia Hotels Zemda,Gümüşlük,False,False,False,0
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,False,True,True,2
BOD079,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,False,False,False,0
BOD080,Myndos Oda & kahvalti,Gümüşlük,False,False,False,0
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,False,False,False,0
BOD082,Otel Gümüşlük,Gümüşlük,False,False,False,0
BOD083,Oza butik hotel,Gümüşlük,False,False,False,0
BOD084,Paradise Garden Apartments,Gümüşlük,False,False,False,0
BOD085,Paradise Gümüşlük,Gümüşlük,False,False,False,0
BOD086,Vega Aparts,Gümüşlük,False,False,False,0
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,False,False,False,0
BOD088,Baia Bodrum Hotel,Gündoğan,False,False,False,0
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,False,False,True,1
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,False,False,False,0
BOD091,Gündoğan Suites,Gündoğan,False,False,True,1
BOD092,Liona Hotel,Gündoğan,False,False,True,1
BOD093,Malta Bodrum Hotel,Gündoğan,False,False,True,1
BOD094,Marje Villas,Gündoğan,False,False,True,1
BOD095,Mivara Luxury Bodrum,Gündoğan,False,False,True,1
BOD096,Olira Boutique Hotel&SPA,Gündoğan,False,False,True,1
BOD097,OLİVE TREE HOTEL,Gündoğan,False,False,True,1
BOD098,Swissôtel Living Bodrum,Gündoğan,False,False,True,1
BOD099,Villa Oliva Butik Otel,Gündoğan,False,False,False,0
BOD100,Villa Rustica Hotel,Gündoğan,False,False,False,0
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,False,False,False,0
BOD102,Akyalı Butik Hotel,Güvercinlik,False,False,False,0
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,False,False,False,0
BOD104,Greenport Bodrum,Güvercinlik,False,False,False,0
BOD105,İsolina Hotel,Güvercinlik,False,False,False,0
BOD106,La Blanche Island Bodrum,Güvercinlik,False,False,False,0
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,False,False,True,1
BOD108,Lujo Hotel Bodrum,Güvercinlik,False,False,True,1
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,False,False,False,0
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,False,False,False,0
BOD111,Zena Hotel Bodrum,Güvercinlik,False,False,False,0
BOD112,Azure By Yelken Hotel,Kadıkalesi,False,False,False,0
BOD113,Kadıkale Resort,Kadıkalesi,True,False,False,1
