hotel_id,review_count,share_of_total_pct
BOD128,87,3.72
BOD057,80,3.42
BOD060,78,3.34
BOD013,72,3.08
BOD052,69,2.95
BOD061,65,2.78
BOD045,64,2.74
BOD007,60,2.57
BOD032,60,2.57
BOD067,59,2.53
BOD020,50,2.14
BOD146,44,1.88
BOD109,43,1.84
BOD105,42,1.8
BOD056,40,1.71
BOD033,39,1.67
BOD189,33,1.41
BOD171,33,1.41
BOD123,32,1.37
BOD063,30,1.28
BOD003,30,1.28
BOD111,30,1.28
BOD070,30,1.28
BOD098,30,1.28
BOD125,30,1.28
BOD064,29,1.24
BOD145,29,1.24
BOD127,29,1.24
BOD001,28,1.2
BOD074,28,1.2
BOD104,27,1.16
BOD049,26,1.11
BOD073,26,1.11
BOD071,25,1.07
BOD132,22,0.94
BOD065,21,0.9
BOD051,21,0.9
BOD150,20,0.86
BOD008,20,0.86
BOD190,20,0.86
BOD129,20,0.86
BOD131,20,0.86
BOD148,20,0.86
BOD077,20,0.86
BOD089,20,0.86
BOD168,20,0.86
BOD152,20,0.86
BOD162,20,0.86
BOD088,20,0.86
BOD113,12,0.51
BOD167,11,0.47
BOD106,11,0.47
BOD024,11,0.47
BOD043,10,0.43
BOD054,10,0.43
BOD055,10,0.43
BOD004,10,0.43
BOD002,10,0.43
BOD006,10,0.43
BOD005,10,0.43
BOD048,10,0.43
BOD011,10,0.43
BOD012,10,0.43
BOD010,10,0.43
BOD014,10,0.43
BOD016,10,0.43
BOD025,10,0.43
BOD026,10,0.43
BOD031,10,0.43
BOD030,10,0.43
BOD034,10,0.43
BOD036,10,0.43
BOD058,10,0.43
BOD120,10,0.43
BOD119,10,0.43
BOD108,10,0.43
BOD102,10,0.43
BOD101,10,0.43
BOD099,10,0.43
BOD107,10,0.43
BOD066,10,0.43
BOD068,10,0.43
BOD086,10,0.43
BOD080,10,0.43
BOD087,10,0.43
BOD090,10,0.43
BOD095,10,0.43
BOD096,10,0.43
BOD122,10,0.43
BOD143,10,0.43
BOD136,10,0.43
BOD140,10,0.43
BOD134,10,0.43
BOD133,10,0.43
BOD126,10,0.43
BOD130,10,0.43
BOD147,10,0.43
BOD156,10,0.43
BOD155,10,0.43
BOD153,10,0.43
BOD161,10,0.43
BOD166,10,0.43
BOD169,10,0.43
BOD180,10,0.43
