hotel_id,hotel_name,area,platform,source_url,detected_name,status,rows_added,started_at,finished_at,last_error
BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,Armonia Holiday Village & Spa,COMPLETED,11,2026-08-26T09:12:20Z,2026-08-26T09:12:20Z,
BOD004,Bendis Beach Hotel,Akyarlar,trip,https://www.trip.com/hotels/akyarlar-mahallesi-hotel-detail-4416296/bendis-beach-hotel/,Bendis Beach Hotel,COMPLETED,11,2026-08-26T09:12:55Z,2026-08-26T09:12:55Z,
BOD007,Kefaluka Resort,Akyarlar,trip,https://www.trip.com/hotels/bodrum-hotel-detail-9894522/kefaluka-resort-ultra-all-inclusive/,Kefaluka Resort,COMPLETED,1,2026-08-26T09:13:32Z,2026-08-26T09:13:32Z,
BOD010,Mare Garden Hotel,Akyarlar,trip,https://us.trip.com/hotels/bodrum-hotel-detail-60107472/mare-garden-hotel/,Mare Garden Hotel,COMPLETED,2,2026-08-26T09:14:06Z,2026-08-26T09:14:06Z,
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,trip,https://uk.trip.com/hotels/bodrum-hotel-detail-75487192/radisson-collection-hotel-bodrum/,"Radisson Collection Hotel, Bodrum",COMPLETED,11,2026-08-26T09:14:35Z,2026-08-26T09:14:35Z,
BOD012,Selectum Collection Bodrum,Akyarlar,trip,https://www.trip.com/hotels/bodrum-hotel-detail-7877878/selectum-collection-bodrum/,Selectum Collection Bodrum,COMPLETED,1,2026-08-26T09:15:10Z,2026-08-26T09:15:10Z,
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,trip,https://uk.trip.com/hotels/bodrum-hotel-detail-10720331/sentido-bellazure-all-inclusive/,Bellazure Hotel,COMPLETED,8,2026-08-26T09:15:46Z,2026-08-26T09:15:46Z,
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,trip,https://us.trip.com/hotels/bodrum-hotel-detail-116725989/suum-bodrum-hotel-beach/,SUUM BODRUM HOTEL & BEACH,COMPLETED,11,2026-08-26T09:16:35Z,2026-08-26T09:16:35Z,
BOD016,Xanadu Island,Akyarlar,trip,https://www.trip.com/hotels/akyarlar-mahallesi-hotel-detail-17508018/xanadu-island-hotel/,Xanadu Island,COMPLETED,11,2026-08-26T09:17:08Z,2026-08-26T09:17:08Z,
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,trip,https://ae.trip.com/hotels/golturkbuku-hotel-detail-17200888/faros-bodrum-ex-villa-kilic-hotel/,Faros Hotel Bodrum - Special Category,WRONG_ENTITY,0,2026-08-26T09:17:44Z,2026-08-26T09:17:44Z,
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,trip,https://www.trip.com/hotels/golturkbuku-hotel-detail-4067437/lavinya-otel/,Lavinya Otel,WRONG_ENTITY,0,2026-08-26T09:17:52Z,2026-08-26T09:17:52Z,
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,trip,https://www.trip.com/hotels/bodrum-hotel-detail-1661001/mandarin-oriental-bodrum/,"Mandarin Oriental, Bodrum",COMPLETED,1,2026-08-26T09:18:03Z,2026-08-26T09:18:03Z,
BOD058,Bodrum Beach Resort,Gümbet,trip,https://us.trip.com/hotels/gumbet-hotel-detail-4057730/bodrum-beach-resort/,Bodrum Beach Resort,COMPLETED,1,2026-08-26T09:18:38Z,2026-08-26T09:18:38Z,
BOD059,Bodrum Hotel Baba,Gümbet,trip,https://ae.trip.com/hotels/gumbet-hotel-detail-7138850/hotel-baba-all-inclusive/,Hotel Baba,WRONG_ENTITY,0,2026-08-26T09:19:12Z,2026-08-26T09:19:12Z,
BOD071,Tropicana Beach Hotel,Gümbet,trip,https://my.trip.com/hotels/gumbet-hotel-detail-3139968/tropicana-beach/,Tropicana Beach,MANUAL_ACTION_REQUIRED,0,2026-08-26T09:19:25Z,2026-08-26T09:19:25Z,Yorum kartlari bulunamadi. Sayfa insan dogrulamasi gosteriyor veya Trip.com sayfa yapisini degistirmis olabilir.
BOD072,VERY CHIC BODRUM,Gümbet,trip,https://uk.trip.com/hotels/bodrum-hotel-detail-3448155/very-chic-bodrum-adult-only/,Very Chic Bodrum Adult Only,WRONG_ENTITY,0,2026-08-26T09:20:35Z,2026-08-26T09:20:35Z,
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,trip,https://www.trip.com/hotels/gumusluk-hotel-detail-96123030/arriba-apart-bungalow-restaurant/,Arriba Apart Bungalow Restaurant,WRONG_ENTITY,0,2026-08-26T09:20:46Z,2026-08-26T09:20:46Z,
BOD074,Begonvil Gümüşlük,Gümüşlük,trip,https://www.trip.com/hotels/gumusluk-hotel-detail-127410335/begonvil-gmlk/,BEGONVİL GÜMÜŞLÜK,COMPLETED,3,2026-08-26T09:20:57Z,2026-08-26T09:20:57Z,
BOD076,Gümüşlük No3,Gümüşlük,trip,https://www.trip.com/hotels/gumusluk-hotel-detail-109836085/gumusluk-no3/,Gumusluk No3,COMPLETED,5,2026-08-26T09:21:24Z,2026-08-26T09:21:24Z,
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,trip,https://www.trip.com/hotels/bodrum-hotel-detail-79101381/liman-hotel-gmslk-adult-only/,Liman Hotel Gümüslük - Adult Only,COMPLETED,11,2026-08-26T09:21:56Z,2026-08-26T09:21:56Z,
BOD007,Kefaluka Resort,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/CgsIqP3Kl9GCnvv4ARAB,Kefaluka Resort,COMPLETED,20,2026-08-26T09:27:19Z,2026-08-26T09:27:19Z,
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChoIuoenmK7E3fPtARoNL2cvMTFwNWxtMV9jcBAB,LA BREZZA SUITE &HOTEL,COMPLETED,20,2026-08-26T09:28:13Z,2026-08-26T09:28:13Z,
BOD012,Selectum Collection Bodrum,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChgI-abrn5G19OiAARoLL2cvMXRzcjVkZG4QAQ,Selectum Collection Bodrum,VALID_ENTITY_NO_REVIEWS,0,2026-08-26T09:28:48Z,2026-08-26T09:28:48Z,
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChkI89S85_60gP2gARoML2cvMXE2anpicjRqEAE,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",COMPLETED,20,2026-08-26T09:29:27Z,2026-08-26T09:29:27Z,
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,google_travel,https://www.google.com/travel/hotels/entity/ChcIoPuags-X5e91GgsvZy8xdGQxMDhibhAB,Bodrium Hotel & SPA,COMPLETED,10,2026-08-26T09:30:07Z,2026-08-26T09:30:07Z,
