aspect,n_mentions,mean_rating_when_mentioned,median_rating_when_mentioned,low_rating_share_when_mentioned,high_rating_share_when_mentioned
FOOD,1377,4.18,5.0,15.5,77.9
STAFF,1376,4.21,5.0,15.3,79.0
ROOM,1328,3.96,5.0,21.2,71.6
CLEANLINESS,1174,4.15,5.0,16.8,77.4
BEACH_SEA,1060,4.12,5.0,16.5,75.8
LOCATION,815,4.19,5.0,15.3,77.8
BAR_DRINKS,758,4.01,5.0,18.6,74.4
SERVICE,700,4.06,5.0,19.0,73.6
PRICE_VALUE,690,3.68,5.0,27.4,64.2
NOISE,594,3.85,5.0,23.4,68.7
FAMILY_KIDS,526,4.13,5.0,17.1,77.2
FACILITIES,508,3.82,5.0,23.2,67.1
BED_COMFORT,471,4.12,5.0,18.3,75.4
POOL,459,4.07,5.0,16.8,73.6
MANAGEMENT,383,3.92,5.0,25.1,70.8
CHECKIN_CHECKOUT,283,3.61,5.0,29.3,61.5
ANIMATION_ENTERTAINMENT,278,4.24,5.0,12.9,80.6
RESERVATION,221,3.07,3.0,43.9,48.4
HYGIENE,185,3.08,3.0,42.7,48.1
COMMUNICATION,116,3.1,3.0,43.1,47.4
REFUND_PAYMENT,109,2.64,2.0,55.0,36.7
AIR_CONDITIONING,65,2.98,3.0,44.6,49.2
WIFI,30,2.73,2.5,50.0,36.7
TRANSPORT_TRANSFER,21,3.9,4.0,19.0,81.0
