file_name,hotel_id,hotel_name,row_count,column_count,file_size_bytes,schema_signature
BOD001_aksoy_taş_ev.csv,BOD001,Aksoy Taş Ev,28,5,18996,"otel_adi,yorum,hizmet,tarih,puan"
BOD002_armonia_holiday_village_spa.csv,BOD002,Armonia Holiday Village & Spa,10,5,12283,"otel_adi,yorum,hizmet,tarih,puan"
BOD003_aspat_hotel_bodrum_beach_restaurant.csv,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,30,5,17333,"otel_adi,yorum,hizmet,tarih,puan"
BOD004_bendis_beach_hotel.csv,BOD004,Bendis Beach Hotel,10,5,15490,"otel_adi,yorum,hizmet,tarih,puan"
BOD005_byakkan.csv,BOD005,ByAkkan,10,5,5321,"otel_adi,yorum,hizmet,tarih,puan"
BOD006_club_marma_hotel.csv,BOD006,Club Marma Hotel,10,5,5773,"otel_adi,yorum,hizmet,tarih,puan"
BOD007_kefaluka_resort.csv,BOD007,Kefaluka Resort,60,5,64323,"otel_adi,yorum,hizmet,tarih,puan"
BOD008_la_brezza_suite_hotel.csv,BOD008,LA BREZZA SUITE &HOTEL,20,5,13659,"otel_adi,yorum,hizmet,tarih,puan"
BOD010_mare_garden_hotel.csv,BOD010,Mare Garden Hotel,10,5,8018,"otel_adi,yorum,hizmet,tarih,puan"
BOD011_radisson_collection_hotel_bodrum.csv,BOD011,"Radisson Collection Hotel, Bodrum",10,5,5849,"otel_adi,yorum,hizmet,tarih,puan"
BOD012_selectum_collection_bodrum.csv,BOD012,Selectum Collection Bodrum,10,5,16513,"otel_adi,yorum,hizmet,tarih,puan"
BOD013_sentido_bellazure_akyarlar_bodrum_turkey.csv,BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",72,5,57405,"otel_adi,yorum,hizmet,tarih,puan"
BOD014_suum_bodrum_hotel_beach.csv,BOD014,Suum Bodrum Hotel & Beach,10,5,20239,"otel_adi,yorum,hizmet,tarih,puan"
BOD016_xanadu_island.csv,BOD016,Xanadu Island,10,5,16548,"otel_adi,yorum,hizmet,tarih,puan"
