hotel_id,aspect,mention_count,mention_rate_pct,support_n
BOD001,STAFF,13,46.4,28
BOD001,CLEANLINESS,14,50.0,28
BOD001,FOOD,20,71.4,28
BOD001,ROOM,20,71.4,28
BOD001,BED_COMFORT,7,25.0,28
BOD001,BEACH_SEA,22,78.6,28
BOD001,SERVICE,3,10.7,28
BOD001,PRICE_VALUE,5,17.9,28
BOD001,LOCATION,16,57.1,28
BOD001,FACILITIES,3,10.7,28
BOD001,NOISE,11,39.3,28
BOD001,FAMILY_KIDS,6,21.4,28
BOD001,CHECKIN_CHECKOUT,2,7.1,28
BOD001,TRANSPORT_TRANSFER,3,10.7,28
BOD001,MANAGEMENT,11,39.3,28
BOD001,COMMUNICATION,1,3.6,28
BOD001,BAR_DRINKS,6,21.4,28
BOD002,STAFF,6,60.0,10
BOD002,CLEANLINESS,5,50.0,10
BOD002,HYGIENE,1,10.0,10
BOD002,FOOD,8,80.0,10
BOD002,ROOM,8,80.0,10
BOD002,BED_COMFORT,6,60.0,10
BOD002,BEACH_SEA,6,60.0,10
BOD002,POOL,5,50.0,10
BOD002,SERVICE,2,20.0,10
BOD002,PRICE_VALUE,5,50.0,10
BOD002,LOCATION,6,60.0,10
BOD002,FACILITIES,1,10.0,10
BOD002,NOISE,5,50.0,10
BOD002,FAMILY_KIDS,6,60.0,10
BOD002,ANIMATION_ENTERTAINMENT,5,50.0,10
BOD002,AIR_CONDITIONING,2,20.0,10
BOD002,CHECKIN_CHECKOUT,2,20.0,10
BOD002,REFUND_PAYMENT,1,10.0,10
BOD002,MANAGEMENT,2,20.0,10
BOD002,BAR_DRINKS,7,70.0,10
BOD002,WIFI,1,10.0,10
BOD003,STAFF,16,53.3,30
BOD003,CLEANLINESS,12,40.0,30
BOD003,HYGIENE,1,3.3,30
BOD003,FOOD,11,36.7,30
BOD003,ROOM,16,53.3,30
BOD003,BED_COMFORT,7,23.3,30
BOD003,BEACH_SEA,18,60.0,30
BOD003,POOL,4,13.3,30
BOD003,SERVICE,6,20.0,30
BOD003,PRICE_VALUE,10,33.3,30
BOD003,LOCATION,11,36.7,30
BOD003,FACILITIES,6,20.0,30
BOD003,NOISE,7,23.3,30
BOD003,FAMILY_KIDS,4,13.3,30
BOD003,AIR_CONDITIONING,1,3.3,30
BOD003,CHECKIN_CHECKOUT,2,6.7,30
BOD003,RESERVATION,1,3.3,30
BOD003,REFUND_PAYMENT,2,6.7,30
BOD003,MANAGEMENT,5,16.7,30
BOD003,BAR_DRINKS,6,20.0,30
BOD004,STAFF,7,70.0,10
BOD004,CLEANLINESS,8,80.0,10
BOD004,HYGIENE,1,10.0,10
BOD004,FOOD,6,60.0,10
BOD004,ROOM,9,90.0,10
BOD004,BED_COMFORT,4,40.0,10
BOD004,BEACH_SEA,5,50.0,10
BOD004,POOL,4,40.0,10
BOD004,SERVICE,1,10.0,10
BOD004,PRICE_VALUE,7,70.0,10
BOD004,LOCATION,2,20.0,10
BOD004,FACILITIES,6,60.0,10
BOD004,NOISE,6,60.0,10
BOD004,FAMILY_KIDS,8,80.0,10
BOD004,ANIMATION_ENTERTAINMENT,4,40.0,10
BOD004,CHECKIN_CHECKOUT,3,30.0,10
BOD004,RESERVATION,5,50.0,10
BOD004,REFUND_PAYMENT,1,10.0,10
BOD004,TRANSPORT_TRANSFER,1,10.0,10
BOD004,MANAGEMENT,3,30.0,10
BOD004,COMMUNICATION,1,10.0,10
BOD004,BAR_DRINKS,5,50.0,10
BOD005,STAFF,6,66.7,9
BOD005,CLEANLINESS,5,55.6,9
BOD005,HYGIENE,2,22.2,9
BOD005,FOOD,6,66.7,9
BOD005,ROOM,5,55.6,9
BOD005,BED_COMFORT,2,22.2,9
BOD005,BEACH_SEA,3,33.3,9
BOD005,SERVICE,4,44.4,9
BOD005,PRICE_VALUE,2,22.2,9
BOD005,LOCATION,2,22.2,9
BOD005,FACILITIES,1,11.1,9
BOD005,NOISE,3,33.3,9
BOD005,ANIMATION_ENTERTAINMENT,1,11.1,9
BOD005,CHECKIN_CHECKOUT,1,11.1,9
BOD005,RESERVATION,1,11.1,9
BOD005,REFUND_PAYMENT,1,11.1,9
BOD005,MANAGEMENT,2,22.2,9
BOD006,STAFF,6,60.0,10
BOD006,CLEANLINESS,5,50.0,10
BOD006,HYGIENE,1,10.0,10
BOD006,FOOD,7,70.0,10
BOD006,ROOM,5,50.0,10
BOD006,BED_COMFORT,3,30.0,10
BOD006,BEACH_SEA,9,90.0,10
BOD006,POOL,1,10.0,10
BOD006,SERVICE,2,20.0,10
BOD006,PRICE_VALUE,5,50.0,10
BOD006,LOCATION,3,30.0,10
BOD006,FACILITIES,3,30.0,10
BOD006,NOISE,3,30.0,10
BOD006,FAMILY_KIDS,2,20.0,10
BOD006,ANIMATION_ENTERTAINMENT,1,10.0,10
BOD006,RESERVATION,1,10.0,10
BOD006,MANAGEMENT,2,20.0,10
BOD006,BAR_DRINKS,1,10.0,10
BOD006,WIFI,1,10.0,10
BOD007,STAFF,39,67.2,58
BOD007,CLEANLINESS,29,50.0,58
BOD007,HYGIENE,5,8.6,58
BOD007,FOOD,37,63.8,58
BOD007,ROOM,35,60.3,58
BOD007,BED_COMFORT,14,24.1,58
BOD007,BEACH_SEA,34,58.6,58
BOD007,POOL,24,41.4,58
BOD007,SERVICE,21,36.2,58
BOD007,PRICE_VALUE,19,32.8,58
BOD007,LOCATION,22,37.9,58
BOD007,FACILITIES,25,43.1,58
BOD007,NOISE,17,29.3,58
BOD007,FAMILY_KIDS,28,48.3,58
BOD007,ANIMATION_ENTERTAINMENT,37,63.8,58
BOD007,AIR_CONDITIONING,1,1.7,58
BOD007,CHECKIN_CHECKOUT,7,12.1,58
BOD007,RESERVATION,10,17.2,58
BOD007,REFUND_PAYMENT,5,8.6,58
BOD007,MANAGEMENT,8,13.8,58
BOD007,COMMUNICATION,9,15.5,58
BOD007,BAR_DRINKS,28,48.3,58
BOD007,WIFI,1,1.7,58
BOD008,STAFF,16,80.0,20
BOD008,CLEANLINESS,14,70.0,20
BOD008,HYGIENE,1,5.0,20
BOD008,FOOD,15,75.0,20
BOD008,ROOM,17,85.0,20
BOD008,BED_COMFORT,7,35.0,20
BOD008,BEACH_SEA,9,45.0,20
BOD008,POOL,9,45.0,20
BOD008,SERVICE,3,15.0,20
BOD008,PRICE_VALUE,6,30.0,20
BOD008,LOCATION,5,25.0,20
BOD008,FACILITIES,2,10.0,20
BOD008,NOISE,7,35.0,20
BOD008,FAMILY_KIDS,5,25.0,20
BOD008,AIR_CONDITIONING,1,5.0,20
BOD008,MANAGEMENT,7,35.0,20
BOD008,BAR_DRINKS,4,20.0,20
BOD010,STAFF,8,80.0,10
BOD010,CLEANLINESS,8,80.0,10
BOD010,HYGIENE,3,30.0,10
BOD010,FOOD,8,80.0,10
BOD010,ROOM,8,80.0,10
BOD010,BED_COMFORT,2,20.0,10
BOD010,BEACH_SEA,9,90.0,10
BOD010,POOL,3,30.0,10
BOD010,SERVICE,3,30.0,10
BOD010,PRICE_VALUE,3,30.0,10
BOD010,LOCATION,4,40.0,10
BOD010,NOISE,1,10.0,10
BOD010,FAMILY_KIDS,6,60.0,10
BOD010,RESERVATION,2,20.0,10
BOD010,MANAGEMENT,1,10.0,10
BOD010,COMMUNICATION,1,10.0,10
BOD010,BAR_DRINKS,3,30.0,10
BOD011,STAFF,9,90.0,10
BOD011,CLEANLINESS,6,60.0,10
BOD011,HYGIENE,1,10.0,10
BOD011,FOOD,7,70.0,10
BOD011,ROOM,5,50.0,10
BOD011,BED_COMFORT,2,20.0,10
BOD011,BEACH_SEA,7,70.0,10
BOD011,SERVICE,6,60.0,10
BOD011,PRICE_VALUE,3,30.0,10
BOD011,LOCATION,3,30.0,10
BOD011,FACILITIES,3,30.0,10
