reviewer_country,n,share_pct
Turkey,89,25.4
Russia,83,23.7
China,36,10.3
United Kingdom,26,7.4
Saudi Arabia,20,5.7
United States,16,4.6
United Arab Emirates,12,3.4
Germany,11,3.1
France,11,3.1
Slovenia,4,1.1
Australia,4,1.1
Netherlands,4,1.1
Kazakhstan,3,0.9
Singapore,3,0.9
"Hong Kong, China",2,0.6
Mongolia,2,0.6
Malaysia,2,0.6
Belarus,2,0.6
aLper B,1,0.3
Thailand,1,0.3
Spain,1,0.3
Canada,1,0.3
Romania,1,0.3
Brazil,1,0.3
Belgium,1,0.3
Pakistan,1,0.3
Kyrgyzstan,1,0.3
"Korea, Republic of",1,0.3
Japan,1,0.3
India,1,0.3
Ireland,1,0.3
Israel,1,0.3
Solo traveller,1,0.3
Couple,1,0.3
Qatar,1,0.3
Italy,1,0.3
"Taiwan, China",1,0.3
Bahrain,1,0.3
