hotel_id,n_reviews,rating_missing_pct,rooms_score_missing_pct
BOD001,28.0,0.0,35.7
BOD002,10.0,0.0,20.0
BOD003,30.0,0.0,10.0
BOD004,10.0,0.0,10.0
BOD005,10.0,0.0,20.0
BOD006,10.0,0.0,20.0
BOD007,60.0,0.0,10.0
BOD008,20.0,0.0,5.0
BOD010,10.0,0.0,0.0
BOD011,10.0,0.0,50.0
BOD012,10.0,0.0,10.0
BOD013,72.0,0.0,47.2
BOD014,10.0,0.0,20.0
BOD016,10.0,0.0,10.0
BOD020,50.0,0.0,28.0
BOD024,11.0,9.1,18.2
BOD025,10.0,0.0,10.0
BOD026,10.0,0.0,30.0
BOD030,10.0,0.0,30.0
BOD031,10.0,0.0,40.0
BOD032,60.0,0.0,40.0
BOD033,39.0,0.0,51.3
BOD034,10.0,0.0,20.0
BOD036,10.0,0.0,10.0
BOD043,10.0,0.0,20.0
BOD045,64.0,0.0,51.6
BOD048,10.0,0.0,20.0
BOD049,26.0,0.0,26.9
BOD051,21.0,0.0,19.0
BOD052,69.0,0.0,55.1
BOD054,10.0,0.0,80.0
BOD055,10.0,0.0,10.0
BOD056,40.0,0.0,22.5
BOD057,80.0,1.2,63.7
BOD058,10.0,0.0,50.0
BOD060,78.0,0.0,34.6
BOD061,65.0,0.0,30.8
BOD063,30.0,0.0,16.7
BOD064,29.0,0.0,34.5
BOD065,21.0,0.0,19.0
BOD066,10.0,0.0,30.0
BOD067,59.0,0.0,44.1
BOD068,10.0,0.0,10.0
BOD070,30.0,0.0,23.3
BOD071,25.0,0.0,24.0
BOD073,26.0,0.0,69.2
BOD074,28.0,0.0,28.6
BOD077,20.0,0.0,35.0
BOD080,10.0,0.0,20.0
BOD086,10.0,0.0,40.0
BOD087,10.0,0.0,40.0
BOD088,20.0,0.0,55.0
BOD089,20.0,0.0,40.0
BOD090,10.0,0.0,10.0
BOD095,10.0,0.0,20.0
BOD096,10.0,0.0,60.0
BOD098,30.0,0.0,20.0
BOD099,10.0,0.0,80.0
BOD101,10.0,0.0,40.0
BOD102,10.0,0.0,40.0
BOD104,27.0,0.0,55.6
BOD105,42.0,0.0,50.0
BOD106,11.0,0.0,18.2
BOD107,10.0,0.0,30.0
BOD108,10.0,0.0,30.0
BOD109,43.0,0.0,34.9
BOD111,30.0,0.0,16.7
BOD113,12.0,8.3,66.7
BOD119,10.0,0.0,20.0
BOD120,10.0,0.0,30.0
BOD122,10.0,0.0,50.0
BOD123,32.0,0.0,68.8
BOD125,30.0,0.0,43.3
BOD126,10.0,0.0,20.0
BOD127,29.0,0.0,34.5
BOD128,87.0,0.0,28.7
BOD129,20.0,0.0,45.0
BOD130,10.0,0.0,10.0
BOD131,20.0,0.0,15.0
BOD132,22.0,0.0,27.3
BOD133,10.0,0.0,40.0
BOD134,10.0,0.0,30.0
BOD136,10.0,0.0,50.0
BOD140,10.0,0.0,10.0
BOD143,10.0,0.0,20.0
BOD145,29.0,0.0,37.9
BOD146,44.0,0.0,38.6
BOD147,10.0,0.0,20.0
BOD148,20.0,0.0,35.0
BOD150,20.0,0.0,30.0
BOD152,20.0,0.0,25.0
BOD153,10.0,0.0,20.0
BOD155,10.0,0.0,40.0
BOD156,10.0,0.0,30.0
BOD161,10.0,0.0,0.0
BOD162,20.0,0.0,25.0
BOD166,10.0,0.0,10.0
BOD167,11.0,0.0,27.3
BOD168,20.0,0.0,45.0
BOD169,10.0,0.0,60.0
BOD171,33.0,0.0,69.7
BOD180,10.0,0.0,50.0
BOD189,33.0,0.0,57.6
BOD190,20.0,0.0,0.0
