file_name,hotel_id,hotel_name,row_count,column_count,schema_signature
BOD002_armonia_holiday_village_spa.csv,BOD002,Armonia Holiday Village & Spa,11,10,"otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi"
BOD003_aspat_hotel_bodrum_beach_restaurant.csv,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,28,10,"otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi"
BOD004_bendis_beach_hotel.csv,BOD004,Bendis Beach Hotel,11,10,"otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi"
BOD007_kefaluka_resort.csv,BOD007,Kefaluka Resort,11,10,"otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi"
BOD008_la_brezza_suite_hotel.csv,BOD008,LA BREZZA SUITE &HOTEL,11,10,"otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi"
BOD010_mare_garden_hotel.csv,BOD010,Mare Garden Hotel,2,10,"otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi"
BOD011_radisson_collection_hotel_bodrum.csv,BOD011,"Radisson Collection Hotel, Bodrum",11,10,"otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi"
BOD012_selectum_collection_bodrum.csv,BOD012,Selectum Collection Bodrum,11,10,"otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi"
BOD013_sentido_bellazure_akyarlar_bodrum_turkey.csv,BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",8,10,"otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi"
BOD014_suum_bodrum_hotel_beach.csv,BOD014,Suum Bodrum Hotel & Beach,11,10,"otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi"
