hotel_id,hotel_name,rows_added_this_batch,unique_rows_in_file
BOD002,Armonia Holiday Village & Spa,0,11
BOD004,Bendis Beach Hotel,0,11
BOD007,Kefaluka Resort,0,11
BOD010,Mare Garden Hotel,0,2
BOD011,"Radisson Collection Hotel, Bodrum",0,11
BOD012,Selectum Collection Bodrum,0,11
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",0,8
BOD014,Suum Bodrum Hotel & Beach,0,11
BOD016,Xanadu Island,0,11
BOD051,Faros Bodrum Hotel Göltürkbükü,0,11
BOD055,Lavinya Otel Göltürkbükü,0,11
BOD056,"Mandarin Oriental, Bodrum",0,11
BOD058,Bodrum Beach Resort,0,11
BOD059,Bodrum Hotel Baba,0,11
BOD072,VERY CHIC BODRUM,0,11
BOD073,Arriba Apartment & Restaurant & Bungalows,3,10
BOD074,Begonvil Gümüşlük,0,3
BOD076,Gümüşlük No3,0,6
BOD078,Liman Hotel Gümüslük (Adult only),0,11
