hotel_id,hotel_name,area,n,mean_rating_5,median_rating_5,std,low_share,mid_share,high_share,sample_support,top_traveler_type,family_share_pct,couple_share_pct,distinct_countries
BOD002,Armonia Holiday Village & Spa,Akyarlar,11,3.8181818181818183,5.0,1.8340219092574557,0.273,0.0,0.727,LOW_SUPPORT,UNKNOWN,36.4,18.2,1
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,28,3.6785714285714284,4.0,1.492042384180314,0.214,0.107,0.679,MODERATE,UNKNOWN,7.1,0.0,0
BOD004,Bendis Beach Hotel,Akyarlar,11,3.9545454545454546,5.0,1.5565112504338903,0.182,0.182,0.636,LOW_SUPPORT,FAMILY,36.4,18.2,2
BOD007,Kefaluka Resort,Akyarlar,11,4.259090909090909,4.6,1.0575486234254625,0.091,0.091,0.818,LOW_SUPPORT,FAMILY,63.6,27.3,4
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,11,4.009090909090909,5.0,1.4145349380305499,0.182,0.091,0.727,LOW_SUPPORT,UNKNOWN,0.0,9.1,0
BOD010,Mare Garden Hotel,Akyarlar,2,4.0,4.0,0.0,0.0,0.0,1.0,VERY_LOW_SUPPORT,UNKNOWN,0.0,0.0,0
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,11,4.75,5.0,0.5590169943749473,0.0,0.182,0.818,LOW_SUPPORT,COUPLE,27.3,54.5,6
BOD012,Selectum Collection Bodrum,Akyarlar,11,4.613636363636363,5.0,0.944481579780916,0.091,0.091,0.818,LOW_SUPPORT,FAMILY,81.8,0.0,2
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,8,4.375,5.0,1.4078859531733585,0.125,0.0,0.875,LOW_SUPPORT,FAMILY,37.5,25.0,0
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,11,3.5454545454545454,4.0,1.752919642404429,0.273,0.091,0.636,LOW_SUPPORT,UNKNOWN,9.1,27.3,0
BOD016,Xanadu Island,Akyarlar,11,4.909090909090909,5.0,0.3015113445777637,0.0,0.0,1.0,LOW_SUPPORT,COUPLE,27.3,72.7,1
BOD017,Ambrosia Otel Beach & Spa,Bitez,50,4.355,5.0,1.2838180461070812,0.14,0.02,0.84,STRONGER,UNKNOWN,30.0,14.0,3
BOD020,Bitez Risa Hotel,Bitez,50,3.75,5.0,1.5722400502182243,0.26,0.08,0.66,STRONGER,UNKNOWN,6.0,0.0,1
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,43,4.593023255813954,5.0,0.8729112071893487,0.047,0.047,0.907,MODERATE,UNKNOWN,14.0,27.9,6
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,21,4.4523809523809526,5.0,0.9734572654303052,0.048,0.048,0.905,MODERATE,COUPLE,19.0,38.1,1
BOD029,Mumu Bodrum Hotel,Bitez,19,4.894736842105263,5.0,0.31530176764230566,0.0,0.0,1.0,LOW_SUPPORT,UNKNOWN,0.0,10.5,0
BOD031,Okaliptus Otel,Bitez,47,3.3191489361702127,3.0,1.415847925061522,0.277,0.277,0.447,MODERATE,UNKNOWN,12.8,8.5,1
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,64,4.28671875,5.0,1.283974551851238,0.125,0.031,0.844,STRONGER,UNKNOWN,23.4,15.6,6
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,63,4.696031746031746,5.0,0.6391338384814745,0.032,0.016,0.952,STRONGER,UNKNOWN,17.5,27.0,6
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,59,4.237288135593221,4.75,0.9764729466536508,0.068,0.136,0.797,STRONGER,UNKNOWN,16.9,6.8,6
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,90,4.588888888888889,5.0,0.8273002585837165,0.022,0.089,0.889,STRONGER,UNKNOWN,25.6,24.4,7
BOD045,Salmakis Resort & Spa,Bodrum Merkez,51,3.872549019607843,4.0,1.1951700182605907,0.118,0.255,0.627,STRONGER,UNKNOWN,15.7,23.5,5
BOD048,Babana Hotel,Göltürkbükü,12,4.0,5.0,1.651445647689541,0.25,0.0,0.75,LOW_SUPPORT,UNKNOWN,33.3,16.7,0
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,11,3.1818181818181817,4.0,1.7786613965666325,0.364,0.0,0.636,LOW_SUPPORT,FAMILY,36.4,0.0,2
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,11,4.2727272727272725,5.0,1.2720777563426764,0.091,0.091,0.818,LOW_SUPPORT,UNKNOWN,27.3,0.0,0
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,11,4.636363636363637,5.0,0.8758113121817134,0.091,0.091,0.818,LOW_SUPPORT,FAMILY,45.5,9.1,2
BOD058,Bodrum Beach Resort,Gümbet,11,3.840909090909091,4.0,0.8236559299301444,0.091,0.364,0.545,LOW_SUPPORT,FRIENDS,18.2,27.3,7
BOD059,Bodrum Hotel Baba,Gümbet,11,2.272727272727273,2.0,1.4206272622267315,0.545,0.273,0.182,LOW_SUPPORT,UNKNOWN,0.0,9.1,0
BOD060,Club Shark Hotel,Gümbet,43,4.325581395348837,5.0,1.0849825592751894,0.07,0.116,0.814,MODERATE,UNKNOWN,4.7,7.0,0
BOD061,Gümbet Anıl Beach,Gümbet,41,4.219512195121951,5.0,1.3876634159973955,0.146,0.049,0.805,MODERATE,UNKNOWN,19.5,0.0,0
BOD064,Jasmin Elite Residence & Spa,Gümbet,88,4.573863636363637,5.0,0.8349057787272418,0.045,0.068,0.886,STRONGER,UNKNOWN,12.5,19.3,8
BOD065,Mirada Exclusive Bodrum,Gümbet,63,4.920634920634921,5.0,0.2724789013191783,0.0,0.0,1.0,STRONGER,FAMILY,42.9,17.5,5
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,74,3.7905405405405403,4.0,1.3293493020373168,0.176,0.203,0.622,STRONGER,UNKNOWN,10.8,16.2,5
BOD068,Selectum Colours Bodrum,Gümbet,45,3.9166666666666665,4.0,1.13317735111981,0.133,0.133,0.733,MODERATE,FAMILY,40.0,20.0,6
BOD071,Tropicana Beach Hotel,Gümbet,12,3.9166666666666665,4.5,1.3789543689024493,0.167,0.167,0.667,LOW_SUPPORT,UNKNOWN,25.0,8.3,0
BOD072,VERY CHIC BODRUM,Gümbet,11,4.75,5.0,0.6224949798994367,0.0,0.091,0.909,LOW_SUPPORT,UNKNOWN,0.0,27.3,4
