hotel_id,hotel_name,area,n_reviews,mean_rating,median_rating,low_share,high_share,median_word_count,details_coverage_pct,google_source_share_pct,sample_support
BOD001,Aksoy Taş Ev,Akyarlar,28,5.0,5.0,0.0,1.0,42.0,64.3,100.0,MODERATE
BOD002,Armonia Holiday Village & Spa,Akyarlar,10,3.6,4.0,0.2,0.6,115.0,80.0,90.0,LOW_SUPPORT
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,30,4.433333333333334,5.0,0.133,0.833,26.5,90.0,100.0,MODERATE
BOD004,Bendis Beach Hotel,Akyarlar,10,2.0,1.0,0.7,0.3,164.5,90.0,90.0,LOW_SUPPORT
BOD005,ByAkkan,Akyarlar,10,4.6,5.0,0.1,0.9,42.0,80.0,90.0,LOW_SUPPORT
BOD006,Club Marma Hotel,Akyarlar,10,4.3,5.0,0.1,0.8,48.5,80.0,100.0,LOW_SUPPORT
BOD007,Kefaluka Resort,Akyarlar,60,4.066666666666666,5.0,0.183,0.733,79.0,90.0,98.3,STRONGER
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,20,5.0,5.0,0.0,1.0,43.5,95.0,95.0,MODERATE
BOD010,Mare Garden Hotel,Akyarlar,10,3.2,3.5,0.3,0.5,95.5,100.0,100.0,LOW_SUPPORT
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,10,4.8,5.0,0.0,0.9,46.5,50.0,90.0,LOW_SUPPORT
BOD012,Selectum Collection Bodrum,Akyarlar,10,4.1,5.0,0.2,0.8,138.5,90.0,90.0,LOW_SUPPORT
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,72,4.027777777777778,5.0,0.181,0.75,46.5,52.8,91.7,STRONGER
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,10,4.6,5.0,0.1,0.9,214.5,80.0,90.0,LOW_SUPPORT
BOD016,Xanadu Island,Akyarlar,10,3.8,5.0,0.3,0.7,178.5,90.0,90.0,LOW_SUPPORT
BOD020,Bitez Risa Hotel,Bitez,50,4.32,5.0,0.1,0.82,34.5,72.0,98.0,STRONGER
BOD024,HAKAN OTEL,Bitez,10,4.1,5.0,0.2,0.8,43.0,81.8,100.0,LOW_SUPPORT
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,10,2.4,1.0,0.6,0.3,82.5,90.0,100.0,LOW_SUPPORT
BOD026,Manuela Otel Bitez,Bitez,10,5.0,5.0,0.0,1.0,69.5,70.0,80.0,LOW_SUPPORT
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,10,2.6,2.0,0.5,0.4,85.5,70.0,80.0,LOW_SUPPORT
BOD031,Okaliptus Otel,Bitez,10,3.5,5.0,0.4,0.6,29.5,60.0,90.0,LOW_SUPPORT
BOD032,Paloma Family Club Bitez,Bitez,60,4.583333333333333,5.0,0.033,0.917,44.0,60.0,91.7,STRONGER
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,39,4.717948717948718,5.0,0.051,0.923,31.0,48.7,79.5,MODERATE
BOD034,Çınar Butik Otel Bodrum,Bitez,10,2.7,1.5,0.6,0.4,24.5,80.0,90.0,LOW_SUPPORT
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,10,5.0,5.0,0.0,1.0,79.5,90.0,90.0,LOW_SUPPORT
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,10,4.6,5.0,0.0,0.8,46.5,80.0,90.0,LOW_SUPPORT
