hotel_id,hotel_name,area,platform,direct_url,status,checked_at,note
BOD001,Aksoy Taş Ev,Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD002,Armonia Holiday Village & Spa,Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD004,Bendis Beach Hotel,Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD005,ByAkkan,Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD006,Club Marma Hotel,Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD007,Kefaluka Resort,Akyarlar,google.com/travel,https://www.google.com/travel/hotels/entity/CgsIqP3Kl9GCnvv4ARAB,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,google.com/travel,https://www.google.com/travel/hotels/entity/ChoIuoenmK7E3fPtARoNL2cvMTFwNWxtMV9jcBAB,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD009,LİV OTEL,Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD010,Mare Garden Hotel,Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD012,Selectum Collection Bodrum,Akyarlar,google.com/travel,https://www.google.com/travel/hotels/entity/ChgI-abrn5G19OiAARoLL2cvMXRzcjVkZG4QAQ,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,google.com/travel,https://www.google.com/travel/hotels/entity/ChkI89S85_60gP2gARoML2cvMXE2anpicjRqEAE,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD015,The Ni Villas Akyarlar,Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD016,Xanadu Island,Akyarlar,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD017,Ambrosia Otel Beach & Spa,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD019,Bitez Garden Life Hotel&Suites,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD020,Bitez Risa Hotel,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD022,Dolce Vita Luxury Bungalows,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD023,Doria Hotel Bodrum,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD024,HAKAN OTEL,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD026,Manuela Otel Bitez,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD027,Meis Apart Hotel,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD028,Mira Beach Resort Bodrum,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD029,Mumu Bodrum Hotel,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD031,Okaliptus Otel,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD032,Paloma Family Club Bitez,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD034,Çınar Butik Otel Bodrum,Bitez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,google.com/travel,https://www.google.com/travel/hotels/entity/ChcIoPuags-X5e91GgsvZy8xdGQxMDhibhAB,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD037,Bodrum Bay Resort,Bodrum Merkez,google.com/travel,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
