hotel_id,hotel_name,area,platform,direct_url,status,checked_at,note,discovery_method,confidence_score,detected_hotel_name
BOD001,Aksoy Taş Ev,Akyarlar,trip,,NOT_FOUND,2026-08-26T20:54:07Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=Aksoy%20Tas%20Ev%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=Aksoy%20Tas%20Ev&searchType=LM&optionId=0&searchValue=131%7C0*131*36.968049%7C27.291845%7CAksoy%20Tas%20Ev%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,https://www.trip.com/hotels/detail/?hotelId=106791418,verified_direct,2026-08-26T20:54:23Z,suggestion='ASPAT HOTEL BODRUM Beach Restaurant' (sim=1.00) detected='Aspat Hotel Bodrum - Beach Restaurant' vs expected='ASPAT HOTEL BODRUM Beach Restaurant' -> score=95,,95,Aspat Hotel Bodrum - Beach Restaurant
BOD004,Bendis Beach Hotel,Akyarlar,trip,https://www.trip.com/hotels/akyarlar-mahallesi-hotel-detail-4416296/bendis-beach-hotel/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD005,ByAkkan,Akyarlar,trip,,NOT_FOUND,2026-08-26T20:54:47Z,suggestion='ByAkkan' (sim=1.00) detected='Byakkan Hotel' vs expected='ByAkkan' -> score=68,,68,Byakkan Hotel
BOD006,Club Marma Hotel,Akyarlar,trip,,NOT_FOUND,2026-08-26T20:55:13Z,Search box not found (site layout may have changed).,,0,
BOD007,Kefaluka Resort,Akyarlar,trip,https://www.trip.com/hotels/bodrum-hotel-detail-9894522/kefaluka-resort-ultra-all-inclusive/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,trip,https://www.trip.com/hotels/detail/?hotelId=4057611,verified_direct,2026-08-26T20:55:17Z,suggestion='LA BREZZA SUITE &HOTEL' (sim=1.00) detected='La Brezza Suite & Hotel' vs expected='LA BREZZA SUITE &HOTEL' -> score=95,,95,La Brezza Suite & Hotel
BOD009,LİV OTEL,Akyarlar,trip,,NOT_FOUND,2026-08-26T20:55:42Z,suggestion='LİV OTEL' (sim=1.00) detected='LIV Hotel by Bellazure' vs expected='LİV OTEL' -> score=53,,53,LIV Hotel by Bellazure
BOD010,Mare Garden Hotel,Akyarlar,trip,https://us.trip.com/hotels/bodrum-hotel-detail-60107472/mare-garden-hotel/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,trip,https://uk.trip.com/hotels/bodrum-hotel-detail-75487192/radisson-collection-hotel-bodrum/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD012,Selectum Collection Bodrum,Akyarlar,trip,https://www.trip.com/hotels/bodrum-hotel-detail-7877878/selectum-collection-bodrum/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,trip,https://uk.trip.com/hotels/bodrum-hotel-detail-10720331/sentido-bellazure-all-inclusive/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,trip,https://us.trip.com/hotels/bodrum-hotel-detail-116725989/suum-bodrum-hotel-beach/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD015,The Ni Villas Akyarlar,Akyarlar,trip,,NOT_FOUND,2026-08-26T20:56:07Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=The%20Ni%20Villas%20Akyarlar%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=The%20Ni%20Villas%20Akyarlar&searchType=LM&optionId=0&searchValue=131%7C0*131*36.971672%7C27.2947534%7CThe%20Ni%20Villas%20Akyarlar%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD016,Xanadu Island,Akyarlar,trip,https://www.trip.com/hotels/akyarlar-mahallesi-hotel-detail-17508018/xanadu-island-hotel/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD017,Ambrosia Otel Beach & Spa,Bitez,trip,https://www.trip.com/hotels/detail/?hotelId=3448116,verified_direct,2026-08-26T20:56:22Z,suggestion='Ambrosia Otel Beach & Spa' (sim=1.00) detected='Ambrosia Hotel Beach & Spa' vs expected='Ambrosia Otel Beach & Spa' -> score=93,,93,Ambrosia Hotel Beach & Spa
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,trip,,NOT_FOUND,2026-08-26T20:56:48Z,suggestion='Bitez Deniz Hotel - Restaurant - Beach' (sim=1.00) detected='Bitez Deniz Hotel' vs expected='Bitez Deniz Hotel - Restaurant - Beach' -> score=65,,65,Bitez Deniz Hotel
BOD019,Bitez Garden Life Hotel&Suites,Bitez,trip,,review_required,2026-08-26T20:57:13Z,suggestion='Bitez Garden Life Hotel&Suites' (sim=1.00) detected='Bitez Garden Life' vs expected='Bitez Garden Life Hotel&Suites' -> score=70,,70,Bitez Garden Life
BOD020,Bitez Risa Hotel,Bitez,trip,https://www.trip.com/hotels/detail/?hotelId=3457591,verified_direct,2026-08-26T20:57:39Z,suggestion='Bitez Risa Hotel' (sim=1.00) detected='Bitez Risa Hotel' vs expected='Bitez Risa Hotel' -> score=95,,95,Bitez Risa Hotel
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,trip,https://www.trip.com/hotels/detail/?hotelId=3799303,verified_direct,2026-08-26T20:58:03Z,"suggestion='Caresse, a Luxury Collection Resort & Spa, Bodrum' (sim=1.00) detected='Caresse, a Luxury Collection Resort & Spa, Bodrum' vs expected='Caresse, a Luxury Collection Resort & Spa, Bodrum' -> score=95",,95,"Caresse, a Luxury Collection Resort & Spa, Bodrum"
BOD022,Dolce Vita Luxury Bungalows,Bitez,trip,,NOT_FOUND,2026-08-26T20:58:30Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=Dolce%20Vita%20Luxury%20Bungalows%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=Dolce%20Vita%20Luxury%20Bungalows&searchType=LM&optionId=0&searchValue=131%7C0*131*37.0465537%7C27.4011106%7CDolce%20Vita%20Luxury%20Bungalows%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD023,Doria Hotel Bodrum,Bitez,trip,,review_required,2026-08-26T20:58:45Z,suggestion='Doria Hotel Bodrum' (sim=1.00) detected='Doria Hotel Bodrum-City Center' vs expected='Doria Hotel Bodrum' -> score=73,,73,Doria Hotel Bodrum-City Center
BOD024,HAKAN OTEL,Bitez,trip,,review_required,2026-08-26T20:59:09Z,suggestion='HAKAN OTEL' (sim=1.00) detected='Hakan Apart Otel' vs expected='HAKAN OTEL' -> score=74,,74,Hakan Apart Otel
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,trip,https://www.trip.com/hotels/detail/?hotelId=133162789,verified_direct,2026-08-26T20:59:32Z,suggestion='Halikarya Hotel & Restaurant Beach' (sim=1.00) detected='Halikarya Hotel & Restaurant Beach' vs expected='Halikarya Hotel & Restaurant Beach' -> score=95,,95,Halikarya Hotel & Restaurant Beach
BOD026,Manuela Otel Bitez,Bitez,trip,,review_required,2026-08-26T20:59:56Z,suggestion='Manuela Otel Bitez' (sim=1.00) detected='Manuela Boutique Hotel Bitez' vs expected='Manuela Otel Bitez' -> score=75,,75,Manuela Boutique Hotel Bitez
BOD027,Meis Apart Hotel,Bitez,trip,,NOT_FOUND,2026-08-26T21:00:22Z,suggestion='Meis Apart Hotel' (sim=1.00) detected='Senmei International Apartment Hotel (Shenzhen Binhe Shidai)' vs expected='Meis Apart Hotel' -> score=41,,41,Senmei International Apartment Hotel (Shenzhen Binhe Shidai)
BOD028,Mira Beach Resort Bodrum,Bitez,trip,,NOT_FOUND,2026-08-26T21:00:52Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=Mira%20Beach%20Resort%20Bodrum%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=Mira%20Beach%20Resort%20Bodrum&searchType=LM&optionId=0&searchValue=131%7C0*131*37.0266614%7C27.3723359%7CMira%20Beach%20Resort%20Bodrum%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD029,Mumu Bodrum Hotel,Bitez,trip,https://www.trip.com/hotels/detail/?hotelId=119015660,verified_direct,2026-08-26T21:01:07Z,suggestion='Mumu Bodrum Hotel' (sim=1.00) detected='Mumu Bodrum Hotel' vs expected='Mumu Bodrum Hotel' -> score=95,,95,Mumu Bodrum Hotel
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,trip,,review_required,2026-08-26T21:01:33Z,suggestion='Natur Garden Hotel Bitez Bodrum' (sim=1.00) detected='Natur Garden Hotel' vs expected='Natur Garden Hotel Bitez Bodrum' -> score=71,,71,Natur Garden Hotel
BOD031,Okaliptus Otel,Bitez,trip,https://www.trip.com/hotels/detail/?hotelId=5420290,verified_direct,2026-08-26T21:01:58Z,suggestion='Okaliptus Otel' (sim=1.00) detected='Okaliptus Otel' vs expected='Okaliptus Otel' -> score=95,,95,Okaliptus Otel
BOD032,Paloma Family Club Bitez,Bitez,trip,,review_required,2026-08-26T21:02:23Z,suggestion='Paloma Family Club Bitez' (sim=1.00) detected='PALOMA FAMILY CLUB' vs expected='Paloma Family Club Bitez' -> score=82,,82,PALOMA FAMILY CLUB
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,trip,https://www.trip.com/hotels/detail/?hotelId=2504739,verified_direct,2026-08-26T21:02:49Z,suggestion='Ramada Resort by Wyndham Bodrum' (sim=1.00) detected='Ramada Resort by Wyndham Bodrum' vs expected='Ramada Resort by Wyndham Bodrum' -> score=95,,95,Ramada Resort by Wyndham Bodrum
BOD034,Çınar Butik Otel Bodrum,Bitez,trip,,review_required,2026-08-26T21:03:13Z,suggestion='Çınar Butik Otel Bodrum' (sim=1.00) detected='Çınar Boutique Hotel Bodrum' vs expected='Çınar Butik Otel Bodrum' -> score=84,,84,Çınar Boutique Hotel Bodrum
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,trip,,NOT_FOUND,2026-08-26T21:03:38Z,suggestion='Azka Otel - Bardakçı Koyu' (sim=1.00) detected='Azka Hotel' vs expected='Azka Otel - Bardakçı Koyu' -> score=54,,54,Azka Hotel
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,trip,https://www.trip.com/hotels/detail/?hotelId=3053057,verified_direct,2026-08-26T21:04:05Z,suggestion='Bodrium Hotel & SPA' (sim=1.00) detected='Bodrium Hotel & Spa' vs expected='Bodrium Hotel & SPA' -> score=95,,95,Bodrium Hotel & Spa
BOD037,Bodrum Bay Resort,Bodrum Merkez,trip,,NOT_FOUND,2026-08-26T21:04:30Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=Bodrum%20Bay%20Resort%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=Bodrum%20Bay%20Resort&searchType=LM&optionId=0&searchValue=131%7C0*131*37.0243031%7C27.4162749%7CBodrum%20Bay%20Resort%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD038,Casa Mare Bodrum,Bodrum Merkez,trip,,NOT_FOUND,2026-08-26T21:04:44Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=CASA%20MARE%20BODRUM%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=CASA%20MARE%20BODRUM&searchType=LM&optionId=0&searchValue=131%7C0*131*37.0293292%7C27.4164266%7CCASA%20MARE%20BODRUM%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD039,Casa Nonna Bodrum,Bodrum Merkez,trip,,NOT_FOUND,2026-08-26T21:04:59Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=Casa%20Nonna%20Bodrum%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=Casa%20Nonna%20Bodrum&searchType=LM&optionId=0&searchValue=131%7C0*131*37.0038983%7C27.4618751%7CCasa%20Nonna%20Bodrum%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,trip,,review_required,2026-08-26T21:05:14Z,suggestion='Diamond of Bodrum Hotel' (sim=1.00) detected='Diamond of Bodrum' vs expected='Diamond of Bodrum Hotel' -> score=81,,81,Diamond of Bodrum
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,trip,https://www.trip.com/hotels/detail/?hotelId=3112073,verified_direct,2026-08-26T21:05:39Z,suggestion='La Quinta by Wyndham Bodrum' (sim=1.00) detected='La Quinta by Wyndham Bodrum' vs expected='La Quinta by Wyndham Bodrum' -> score=95,,95,La Quinta by Wyndham Bodrum
BOD042,Mandarin Resort Hotel,Bodrum Merkez,trip,,ERROR,2026-08-26T22:07:19Z,Otel adi bulunamadi; sayfa tam yuklenmemis olabilir.,,0,
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,trip,https://www.trip.com/hotels/detail/?hotelId=9664001,verified_direct,2026-08-26T21:07:43Z,suggestion='METT Hotel & Beach Resort Bodrum' (sim=1.00) detected='METT Hotel & Beach Resort Bodrum' vs expected='METT Hotel & Beach Resort Bodrum' -> score=95,,95,METT Hotel & Beach Resort Bodrum
BOD044,Noa Suite Hotel,Bodrum Merkez,trip,,review_required,2026-08-26T21:08:12Z,suggestion='Noa Suite Hotel' (sim=1.00) detected='Noa Suite Hotel Only Adult' vs expected='Noa Suite Hotel' -> score=71,,71,Noa Suite Hotel Only Adult
BOD045,Salmakis Resort & Spa,Bodrum Merkez,trip,https://www.trip.com/hotels/detail/?hotelId=2564875,verified_direct,2026-08-26T21:08:39Z,suggestion='Salmakis Resort & Spa' (sim=1.00) detected='Salmakis Resort & Spa' vs expected='Salmakis Resort & Spa' -> score=95,,95,Salmakis Resort & Spa
BOD046,Senses Hotel,Bodrum Merkez,trip,,NOT_FOUND,2026-08-26T21:09:04Z,suggestion='Senses Hotel' (sim=1.00) detected='Senses Hotel - Adults Only' vs expected='Senses Hotel' -> score=65,,65,Senses Hotel - Adults Only
BOD047,The Marmara Bodrum,Bodrum Merkez,trip,,review_required,2026-08-26T21:09:30Z,suggestion='The Marmara Bodrum' (sim=1.00) detected='The Marmara Bodrum - Adult Only' vs expected='The Marmara Bodrum' -> score=74,,74,The Marmara Bodrum - Adult Only
BOD048,Babana Hotel,Göltürkbükü,trip,https://www.trip.com/hotels/detail/?hotelId=3444382,verified_direct,2026-08-26T21:09:56Z,suggestion='Babana Hotel' (sim=1.00) detected='Babana Hotel' vs expected='Babana Hotel' -> score=95,,95,Babana Hotel
BOD049,Casa Del Mar Bodrum,Göltürkbükü,trip,,NOT_FOUND,2026-08-26T21:10:21Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=casa%20del%20mar%20bodrum%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=casa%20del%20mar%20bodrum&searchType=LM&optionId=0&searchValue=131%7C0*131*37.118254%7C27.3875357%7Ccasa%20del%20mar%20bodrum%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,trip,,review_required,2026-08-26T21:10:37Z,suggestion='Daphnis Hotel Gölköy' (sim=1.00) detected='Daphnis Hotel' vs expected='Daphnis Hotel Gölköy' -> score=76,,76,Daphnis Hotel
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,trip,https://ae.trip.com/hotels/golturkbuku-hotel-detail-17200888/faros-bodrum-ex-villa-kilic-hotel/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD052,Flamm Bodrum,Göltürkbükü,trip,,NOT_FOUND,2026-08-26T21:11:04Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=Flamm%20Bodrum%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=Flamm%20Bodrum&searchType=LM&optionId=0&searchValue=131%7C0*131*37.119175%7C27.3914586%7CFlamm%20Bodrum%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD053,Gölköy Suites,Göltürkbükü,trip,,NOT_FOUND,2026-08-26T21:11:19Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=G%C3%B6lk%C3%B6y%20Suites%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=G%C3%B6lk%C3%B6y%20Suites&searchType=LM&optionId=0&searchValue=131%7C0*131*37.119574%7C27.3896168%7CG%C3%B6lk%C3%B6y%20Suites%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD054,Lavinya Maison,Göltürkbükü,trip,,NOT_FOUND,2026-08-26T21:11:34Z,suggestion='Lavinya Maison' (sim=1.00) detected='Lavinya Otel' vs expected='Lavinya Maison' -> score=67,,67,Lavinya Otel
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,trip,https://www.trip.com/hotels/golturkbuku-hotel-detail-4067437/lavinya-otel/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,trip,https://www.trip.com/hotels/bodrum-hotel-detail-1661001/mandarin-oriental-bodrum/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD057,Selvi Bodrum,Göltürkbükü,trip,,NOT_FOUND,2026-08-26T21:11:57Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=Selvi%20Bodrum%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=Selvi%20Bodrum&searchType=LM&optionId=0&searchValue=131%7C0*131*37.1184484%7C27.394029%7CSelvi%20Bodrum%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD058,Bodrum Beach Resort,Gümbet,trip,https://us.trip.com/hotels/gumbet-hotel-detail-4057730/bodrum-beach-resort/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD059,Bodrum Hotel Baba,Gümbet,trip,https://ae.trip.com/hotels/gumbet-hotel-detail-7138850/hotel-baba-all-inclusive/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD060,Club Shark Hotel,Gümbet,trip,https://www.trip.com/hotels/detail/?hotelId=3110682,verified_direct,2026-08-26T21:12:12Z,suggestion='Club Shark Hotel' (sim=1.00) detected='Club Shark Hotel' vs expected='Club Shark Hotel' -> score=95,,95,Club Shark Hotel
BOD061,Gümbet Anıl Beach,Gümbet,trip,https://www.trip.com/hotels/detail/?hotelId=3139941,verified_direct,2026-08-26T21:12:37Z,suggestion='Gümbet Anıl Beach' (sim=1.00) detected='Gumbet Anil Beach' vs expected='Gümbet Anıl Beach' -> score=95,,95,Gumbet Anil Beach
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,trip,,NOT_FOUND,2026-08-26T21:13:02Z,"suggestion='Gümbet Cove Hotel, Muğla Türkiye' (sim=1.00) detected='Gumbet Cove Hotel' vs expected='Gümbet Cove Hotel, Muğla Türkiye' -> score=69",,69,Gumbet Cove Hotel
BOD063,Jasmin Beach Hotel,Gümbet,trip,,ERROR,2026-08-26T22:09:06Z,Otel adi bulunamadi; sayfa tam yuklenmemis olabilir.,,0,
BOD064,Jasmin Elite Residence & Spa,Gümbet,trip,https://www.trip.com/hotels/detail/?hotelId=10734986,verified_direct,2026-08-26T21:15:07Z,suggestion='Jasmin Elite Residence & Spa' (sim=1.00) detected='Jasmin Elite Residence & Spa' vs expected='Jasmin Elite Residence & Spa' -> score=95,,95,Jasmin Elite Residence & Spa
BOD065,Mirada Exclusive Bodrum,Gümbet,trip,https://www.trip.com/hotels/detail/?hotelId=96677392,verified_direct,2026-08-26T21:15:33Z,suggestion='Mirada Exclusive Bodrum' (sim=1.00) detected='Mirada Exclusive Bodrum' vs expected='Mirada Exclusive Bodrum' -> score=95,,95,Mirada Exclusive Bodrum
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,trip,https://www.trip.com/hotels/detail/?hotelId=4373993,verified_direct,2026-08-26T21:16:00Z,suggestion='Royal Asarlik Beach Hotel & Spa' (sim=1.00) detected='Royal Asarlik Beach Hotel' vs expected='Royal Asarlik Beach Hotel & Spa' -> score=88,,88,Royal Asarlik Beach Hotel
BOD067,Sami Beach Hotel,Gümbet,trip,,NOT_FOUND,2026-08-26T21:16:26Z,suggestion='Sami Beach Hotel' (sim=1.00) detected='Ningguo International Hotel' vs expected='Sami Beach Hotel' -> score=43,,43,Ningguo International Hotel
BOD068,Selectum Colours Bodrum,Gümbet,trip,https://www.trip.com/hotels/detail/?hotelId=10718129,verified_direct,2026-08-26T21:16:54Z,suggestion='Selectum Colours Bodrum' (sim=1.00) detected='Selectum Colours Bodrum' vs expected='Selectum Colours Bodrum' -> score=95,,95,Selectum Colours Bodrum
BOD069,Siesta Beach Apart,Gümbet,trip,,NOT_FOUND,2026-08-26T21:17:20Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=Siesta%20Beach%20Apart%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=Siesta%20Beach%20Apart&searchType=LM&optionId=0&searchValue=131%7C0*131*37.0276693%7C27.40878%7CSiesta%20Beach%20Apart%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD070,The Luvi Hotel,Gümbet,trip,,NOT_FOUND,2026-08-26T21:17:35Z,suggestion='The Luvi Hotel' (sim=1.00) detected='Luvi Cave Hotel' vs expected='The Luvi Hotel' -> score=67,,67,Luvi Cave Hotel
BOD071,Tropicana Beach Hotel,Gümbet,trip,https://my.trip.com/hotels/gumbet-hotel-detail-3139968/tropicana-beach/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD072,VERY CHIC BODRUM,Gümbet,trip,https://uk.trip.com/hotels/bodrum-hotel-detail-3448155/very-chic-bodrum-adult-only/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,trip,https://www.trip.com/hotels/gumusluk-hotel-detail-96123030/arriba-apart-bungalow-restaurant/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD074,Begonvil Gümüşlük,Gümüşlük,trip,https://www.trip.com/hotels/gumusluk-hotel-detail-127410335/begonvil-gmlk/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD075,Benjamin Otel,Gümüşlük,trip,,NOT_FOUND,2026-08-26T21:18:02Z,No optionId in results URL: https://www.trip.com/hotels/list?flexType=1&cityId=1761&provinceId=97783&districtId=0&countryId=89&cityName=Bodrum&destName=Benjamin%20Otel%2C%20Bodrum%2C%20Mugla%20Province%2C%20T%C3%BCrkiye&searchWord=Benjamin%20Otel&searchType=LM&optionId=0&searchValue=131%7C0*131*37.0541546%7C27.2388401%7CBenjamin%20Otel%7C0&checkin=2026-08-27&checkout=2026-08-28&crn=1&adult=2&listFilters=29~1*29*1~2*2&curr=USD&locale=en-XX&old=1,,0,
BOD076,Gümüşlük No3,Gümüşlük,trip,https://www.trip.com/hotels/gumusluk-hotel-detail-109836085/gumusluk-no3/,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD077,Ladonia Hotels Zemda,Gümüşlük,trip,,review_required,2026-08-26T21:18:17Z,suggestion='Ladonia Hotels Zemda' (sim=1.00) detected='Ladonia Hotels Zemda Gümüşlük' vs expected='Ladonia Hotels Zemda' -> score=78,,78,Ladonia Hotels Zemda Gümüşlük
