hotel_id,platform,canonical_name,accepted_alias,alias_type,reason,verified
BOD013,trip,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Bellazure Hotel,MANUAL_VERIFIED_ALIAS,"Trip.com displays the property under its base brand name without the Sentido/city/country suffix that master_hotel_name carries; manually confirmed same hotel_id/URL.",TRUE
BOD051,trip,"Faros Bodrum Hotel Göltürkbükü",Faros Hotel Bodrum - Special Category,MANUAL_VERIFIED_ALIAS,"Phase 3 section 18 audit: Trip.com detected name is master name with the area suffix dropped and a room-category tag added; area (Göltürkbükü) matches master, no second distinct Faros-branded hotel exists in the master dataset, so this is not a brand-collision risk like Selectum/La Blanche.",TRUE
BOD055,trip,"Lavinya Otel Göltürkbükü",Lavinya Otel,MANUAL_VERIFIED_ALIAS,"Phase 3 section 18 audit: Trip.com detected name is exactly the master name with the trailing area word dropped; no second distinct Lavinya-branded hotel exists in the master dataset.",TRUE
BOD059,trip,"Bodrum Hotel Baba",Hotel Baba,MANUAL_VERIFIED_ALIAS,"Phase 3 section 18 audit: Trip.com detected name drops the leading city word 'Bodrum'; no second distinct Hotel Baba exists in the master dataset for this area (Gümbet).",TRUE
BOD072,trip,"VERY CHIC BODRUM",Very Chic Bodrum Adult Only,MANUAL_VERIFIED_ALIAS,"Phase 3 section 18 audit: Trip.com detected name is the master name plus an 'Adult Only' segment tag, same brand and area (Gümbet); no second distinct Very Chic-branded hotel in the master dataset.",TRUE
BOD073,trip,"Arriba Apartment & Restaurant & Bungalows",Arriba Apart Bungalow Restaurant,MANUAL_VERIFIED_ALIAS,"Phase 3 section 18 audit: Trip.com detected name reorders/abbreviates the same three words (Apart/Bungalow/Restaurant) as the master name; same area (Gümüşlük), no second distinct Arriba-branded hotel in the master dataset.",TRUE
BOD017,trip,Ambrosia Otel Beach & Spa,Ambrosia Hotel Beach & Spa,MANUAL_VERIFIED_ALIAS,"Task B fresh entity validation: Trip.com translates 'Otel' to 'Hotel'; rest of the distinctive name (Ambrosia Beach & Spa) and area match master exactly, no competing Ambrosia-branded property in the master dataset.",TRUE
BOD066,trip,Royal Asarlik Beach Hotel & Spa,Royal Asarlik Beach Hotel,MANUAL_VERIFIED_ALIAS,"Trip.com drops the trailing '& Spa' suffix; distinctive brand 'Royal Asarlik Beach Hotel' matches exactly, no competing property.",TRUE
BOD071,trip,Tropicana Beach Hotel,Tropicana Beach,MANUAL_VERIFIED_ALIAS,"Trip.com drops the generic 'Hotel' suffix; distinctive 'Tropicana Beach' brand matches exactly, no competing property.",TRUE
BOD082,trip,Otel Gümüşlük,Hotel Gumusluk,MANUAL_VERIFIED_ALIAS,"Trip.com translates 'Otel' to 'Hotel' and drops Turkish diacritics on the distinctive Gümüşlük location name; same property, no competing candidate.",TRUE
BOD122,trip,Florida Otel,Florida Hotel,MANUAL_VERIFIED_ALIAS,"Trip.com translates 'Otel' to 'Hotel'; area evidence agrees with master, no second Florida-branded property in the master dataset.",TRUE
BOD136,trip,Zest Exclusive Hotel and Spa,Zest Exclusive Hotel & Spa,MANUAL_VERIFIED_ALIAS,Trip.com uses '&' instead of 'and'; distinctive full name otherwise identical.,TRUE
BOD140,trip,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,DoubleTree by Hilton Bodrum Isil Club Ultra All Inclusive Resort,MANUAL_VERIFIED_ALIAS,"Trip.com normalizes Turkish diacritics (Isil), removes the All-Inclusive hyphen, and inserts the qualifier 'Ultra'; the distinctive DoubleTree by Hilton Bodrum Isil Club brand is a unique chain property in the master dataset.",TRUE
BOD151,trip,Sarpedor Boutique Hotel & SPA,Sarpedor Boutique Hotel,MANUAL_VERIFIED_ALIAS,"Trip.com drops the trailing '& SPA' suffix; distinctive 'Sarpedor Boutique Hotel' brand matches exactly, no competing property (same conclusion independently reached for this hotel's Sikayetvar mapping closure).",TRUE
BOD170,trip,No:81 Hotel,No81 Hotel,MANUAL_VERIFIED_ALIAS,Trip.com drops the colon punctuation in the distinctive numeric brand name 'No:81'; no competing property.,TRUE
BOD175,trip,Avantgarde Refined Hotel | Yalıkavak,Avantgarde Refined Yalıkavak,MANUAL_VERIFIED_ALIAS,Trip.com drops the pipe separator and the generic 'Hotel' word; distinctive brand 'Avantgarde Refined' plus location 'Yalıkavak' both match exactly.,TRUE
