hotel_id,hotel_name,area,platform,direct_url,status,checked_at,note
BOD001,Aksoy Taş Ev,Akyarlar,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD002,Armonia Holiday Village & Spa,Akyarlar,tripadvisor.com,https://www.tripadvisor.com/Hotel_Review-g951437-d1097054-Reviews-Armonia_Holiday_Village_Spa-Akyarlar_Turgutreis_Bodrum_District_Mugla_Province_Turkish.html,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,tripadvisor.com,https://www.tripadvisor.com/Hotel_Review-g951437-d1228842-Reviews-Aspat_Hotel_Bodrum_Beach_Restaurant-Akyarlar_Turgutreis_Bodrum_District_Mugla_Province.html,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD004,Bendis Beach Hotel,Akyarlar,tripadvisor.com,https://www.tripadvisor.com/Hotel_Review-g951437-d2219217-Reviews-Bendis_Beach_Hotel-Akyarlar_Turgutreis_Bodrum_District_Mugla_Province_Turkish_Aegean_C.html,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD005,ByAkkan,Akyarlar,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD006,Club Marma Hotel,Akyarlar,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD007,Kefaluka Resort,Akyarlar,tripadvisor.com,https://www.tripadvisor.com/Hotel_Review-g951437-d1412957-Reviews-Kefaluka_Resort_Bodrum-Akyarlar_Turgutreis_Bodrum_District_Mugla_Province_Turkish_Aege.html,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD009,LİV OTEL,Akyarlar,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD010,Mare Garden Hotel,Akyarlar,tripadvisor.com,https://www.tripadvisor.com/Hotel_Review-g951437-d646595-Reviews-Mare_Garden_Hotel-Akyarlar_Turgutreis_Bodrum_District_Mugla_Province_Turkish_Aegean_Coa.html,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,tripadvisor.com,https://www.tripadvisor.com/Hotel_Review-g298658-d23258571-Reviews-Radisson_Collection_Hotel_Bodrum-Bodrum_City_Bodrum_District_Mugla_Province_Turkish_A.html,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD012,Selectum Collection Bodrum,Akyarlar,tripadvisor.com,https://www.tripadvisor.com/Hotel_Review-g951437-d775593-Reviews-Selectum_Collection_Bodrum-Akyarlar_Turgutreis_Bodrum_District_Mugla_Province_Turkish_A.html,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,tripadvisor.com,https://www.tripadvisor.com/Hotel_Review-g951437-d4923111-Reviews-Bellazure_Hotel-Akyarlar_Turgutreis_Bodrum_District_Mugla_Province_Turkish_Aegean_Coas.html,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,tripadvisor.com,https://www.tripadvisor.com/Hotel_Review-g951437-d2171403-Reviews-Suum_Bodrum_Hotel_Beach_Adult_Only-Akyarlar_Turgutreis_Bodrum_District_Mugla_Province_.html,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD015,The Ni Villas Akyarlar,Akyarlar,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD016,Xanadu Island,Akyarlar,tripadvisor.com,https://www.tripadvisor.com/Hotel_Review-g951437-d1773302-Reviews-Xanadu_Island-Akyarlar_Turgutreis_Bodrum_District_Mugla_Province_Turkish_Aegean_Coast.html,verified_direct,2026-08-26,Doğrudan tesis sayfası web aramasında otel adı ve Bodrum/bölge eşleşmesiyle doğrulandı.
BOD017,Ambrosia Otel Beach & Spa,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD019,Bitez Garden Life Hotel&Suites,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD020,Bitez Risa Hotel,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD022,Dolce Vita Luxury Bungalows,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD023,Doria Hotel Bodrum,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD024,HAKAN OTEL,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD026,Manuela Otel Bitez,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD027,Meis Apart Hotel,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD028,Mira Beach Resort Bodrum,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD029,Mumu Bodrum Hotel,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
BOD031,Okaliptus Otel,Bitez,tripadvisor.com,null,null,2026-08-26,Doğrudan tesis sayfası güvenilir biçimde doğrulanamadı; arama bağlantısı eklenmedi.
